Plant_Number,raw_label,soil_status,block,precip,inocul,trt,
1,1-L1aA_SDS,L,1,A,SDS,L1aA_SDS,
2,2-L1bA_SDS,L,1,A,SDS,L1bA_SDS,
3,3-L1cA_SDS,L,1,A,SDS,L1cA_SDS,
4,4-L2aA_SDS,L,2,A,SDS,L2aA_SDS,
5,5-L2bA_SDS,L,2,A,SDS,L2bA_SDS,
6,6-L2cA_SDS,L,2,A,SDS,L2cA_SDS,
7,7-L3aA_SDS,L,3,A,SDS,L3aA_SDS,
8,8-L3bA_SDS,L,3,A,SDS,L3bA_SDS,
9,9-L3cA_SDS,L,3,A,SDS,L3cA_SDS,
10,10-L4aA_SDS,L,4,A,SDS,L4aA_SDS,
11,11-L4bA_SDS,L,4,A,SDS,L4bA_SDS,
12,12-L4cA_SDS,L,4,A,SDS,L4cA_SDS,
13,13-L5aA_SDS,L,5,A,SDS,L5aA_SDS,
14,14-L5bA_SDS,L,5,A,SDS,L5bA_SDS,
15,15-L5cA_SDS,L,5,A,SDS,L5cA_SDS,
16,16-S1aA_SDS,S,1,A,SDS,S1aA_SDS,
17,17-S1bA_SDS,S,1,A,SDS,S1bA_SDS,
18,18-S1cA_SDS,S,1,A,SDS,S1cA_SDS,
19,19-S2aA_SDS,S,2,A,SDS,S2aA_SDS,
20,20-S2bA_SDS,S,2,A,SDS,S2bA_SDS,
21,21-S2cA_SDS,S,2,A,SDS,S2cA_SDS,
22,22-S3aA_SDS,S,3,A,SDS,S3aA_SDS,
23,23-S3bA_SDS,S,3,A,SDS,S3bA_SDS,
24,24-S3cA_SDS,S,3,A,SDS,S3cA_SDS,
25,25-S4aA_SDS,S,4,A,SDS,S4aA_SDS,
26,26-S4bA_SDS,S,4,A,SDS,S4bA_SDS,
27,27-S4cA_SDS,S,4,A,SDS,S4cA_SDS,
28,28-S5aA_SDS,S,5,A,SDS,S5aA_SDS,
29,29-S5bA_SDS,S,5,A,SDS,S5bA_SDS,
30,30-S5cA_SDS,S,5,A,SDS,S5cA_SDS,
31,31-L1aD_SDS,L,1,D,SDS,L1aD_SDS,
32,32-L1bD_SDS,L,1,D,SDS,L1bD_SDS,
33,33-L1cD_SDS,L,1,D,SDS,L1cD_SDS,
34,34-L2aD_SDS,L,2,D,SDS,L2aD_SDS,
35,35-L2bD_SDS,L,2,D,SDS,L2bD_SDS,
36,36-L2cD_SDS,L,2,D,SDS,L2cD_SDS,
37,37-L3aD_SDS,L,3,D,SDS,L3aD_SDS,
38,38-L3bD_SDS,L,3,D,SDS,L3bD_SDS,
39,39-L3cD_SDS,L,3,D,SDS,L3cD_SDS,
40,40-L4aD_SDS,L,4,D,SDS,L4aD_SDS,
41,41-L4bD_SDS,L,4,D,SDS,L4bD_SDS,
42,42-L4cD_SDS,L,4,D,SDS,L4cD_SDS,
43,43-L5aD_SDS,L,5,D,SDS,L5aD_SDS,
44,44-L5bD_SDS,L,5,D,SDS,L5bD_SDS,
45,45-L5cD_SDS,L,5,D,SDS,L5cD_SDS,
46,46-S1aD_SDS,S,1,D,SDS,S1aD_SDS,
47,47-S1bD_SDS,S,1,D,SDS,S1bD_SDS,
48,48-S1cD_SDS,S,1,D,SDS,S1cD_SDS,
49,49-S2aD_SDS,S,2,D,SDS,S2aD_SDS,
50,50-S2bD_SDS,S,2,D,SDS,S2bD_SDS,
51,51-S2cD_SDS,S,2,D,SDS,S2cD_SDS,
52,52-S3aD_SDS,S,3,D,SDS,S3aD_SDS,
53,53-S3bD_SDS,S,3,D,SDS,S3bD_SDS,
