Plant_Number,root_weight,notes_root,observer_root,date_weighed_root,entry_notes_root,sandy_root,shoot_weight,notes_shoot,observer_shoot,date_weighed_shoot,shoot_height_cm_harvest,coverscale_harvest,harvest_notes,survival_harvest,buds_714,pods_714,shoot_height_cm_tri710,buds_tri710,pods_tri710,coverscale_tri710,notes_tri710,shoot_height_cm_tri702,leaf_no_tri702,leaf_length_tri702,coverscale_tri702,notes_tri702
1,0.0234,,Audrey Hogenkamp,7/20/2018,,N,0.0139,,Tayler&Lukas,12/17/2018,11.3,2,Broken roots,1,0,3,9.5,2,3,2,A,4.4,4,NA,1,Almost flowering
2,0.0207,,Audrey Hogenkamp,7/20/2018,,N,0.0089,,Tayler&Lukas,12/17/2018,3.7,2,,1,1,1,3,4,1,1,A,0.6,4,NA,1,weak Stem
3,0.0334,small pieces of roots (probably not all of the roots?),Audrey Hogenkamp,7/20/2018,,N,0.0201,,Audrey Hogenkamp,7/20/2018,7.5,1,,1,0,3,606,1,3,2,A,3.9,4,2,1,Almost flowering
4,0.0244,,Audrey Hogenkamp,7/20/2018,,N,0.0154,,Tayler&Lukas,12/17/2018,5,1,linear root,1,1,1,4.5,3,1,1,A,2.3,4,1.5,1,
5,0.0276,,Audrey Hogenkamp,7/20/2018,,N,0.012,,Tayler&Lukas,12/17/2018,10.5,3,branched,1,2,1,8,4,1,2,A,1.7,3,1.7,1,
6,0.1032,Lots of sand and vermiculite,Audrey Hogenkamp,7/20/2018,,Y,0.0163,,Tayler&Lukas,12/17/2018,8,1,,1,2,2,8,2,2,1,A,3.2,4,NA,1,
7,0.0903,Lots of sand and vermiculite,Audrey Hogenkamp,7/20/2018,,Y,0.0114,,Tayler&Lukas,12/17/2018,6.5,1,,1,0,3,6.1,2,3,2,D,1.6,4,1.5,1,
8,0.036,,Audrey Hogenkamp,7/20/2018,,N,0.0086,,Tayler&Lukas,12/17/2018,1.5,1,,1,1,0,3.9,3,1,1,A,0.7,3,1.5,1,Almost flowering
9,0.0944,Lots of sand and vermiculite,Audrey Hogenkamp,7/20/2018,,Y,0.01,,Tayler&Lukas,12/17/2018,3.2,3,,1,0,0,3.2,4,2,2,D; doesnt look healthy,1.1,2,1,1,Almost flowering
10,0.0819,,Audrey Hogenkamp,7/20/2018,,N,0.0089,,Tayler&Lukas,12/17/2018,5.5,2,,1,1,0,5.5,7,0,2,N,3.2,2,1.6,1,
