Sample_day,2-Hydroxy-Benzoic-Acid,4-Hydroxy-Benzoic-Acid,a-Cyclodextrin,a-D-Lactose,a-Ketobutyric-Acid,D-Cellobiose,D-Galactonic-Acid-Lactone,D-Galacturonic-Acid,D-Glucosaminic-Acid,D-Malic-Acid,D-Mannitol,D-Xylose,"D,L-a-Glycerol-Phosphate",Glucose-1-Phosphate,Glycogen,Glycyl-L-Glutomic-Acid,Itaconic-Acid,L-Arginine,L-Asparagine,l-Erythritol,L-Phenylalanine,L-Serine,L-Threonine,Methyl-D-Glucoside,N-Acetyl-D-Glucosamine,Phenylethyl-amine,Putrescine,Pyruvic-Acid-Methyl-Ester,Tween-40,Tween-80,y-HydroxyButryic-Acid
101_1,0,0,0,0,0,0,0,0,0,0,0,0.028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008,0
101_2,0,0,0,0,0,0,0,0,0,0,0,0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.005,0
101_4,0,0.126,0.014,0,0.057,0.028,0.731,0.006,0.466,0.313,0.83,0.016,0.06,0.003,0.018,0,0.731,0.686,1.474,0,0.158,1.055,0.002,0,0.001,0.431,0.536,0.833,0.593,0.889,0.016
107_1,0,0,0,0,0,0,0,0,0,0,0,0.028,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0
107_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107_4,0,0.077,0,0,0,0,0.277,0.424,0.194,0,0.45,0,0.064,0,0.01,0,0,0.292,1.038,0.05,0.226,0.399,0,0,0.185,0.054,0.257,0.59,0.307,0.606,0
110_1,0,0,0,0.004,0.003,0,0,0,0.017,0,0,0.022,0,0.022,0.002,0.002,0.011,0,0,0,0,0,0,0,0,0.027,0,0.002,0,0.012,0
110_2,0,0,0.002,0,0,0,0,0,0,0,0,0.007,0,0,0.01,0,0.004,0,0.014,0,0,0,0,0,0,0,0.019,0.015,0.08,0.079,0
110_4,0,0.253,0.004,0,0.04,0.189,0.331,1.574,0.279,0.659,0.746,0,0.048,0.023,0.02,0,0.476,0.448,0.912,0,0.188,0.841,0,0.092,0.38,0.127,0.331,0.795,0.813,0.85,0.953
113_1,0,0,0,0,0.003,0,0,0,0.008,0,0,0.029,0.009,0.003,0.017,0.05,0.006,0,0,0,0,0,0,0,0,0.001,0.001,0.002,0,0.013,0
113_2,0,0.01,0,0,0,0,0,0.023,0.016,0,0.014,0.022,0.015,0.018,0.007,0.005,0.008,0.002,0,0.009,0,0,0,0.005,0,0,0,0.011,0,0.033,0.009
113_4,0,1.597,0.003,0,0.046,0.019,0.29,2.094,0.379,0.004,0.911,0.02,0.07,0.01,0.032,0.023,0.51,0.883,1.836,0.144,0.768,1.038,0.018,0.007,0.317,0.005,0,0.849,0.624,0.65,0.7
125_1,0,0,0,0,0.004,0,0,0,0,0,0,0.021,0,0,0.002,0,0,0,0.005,0,0,0,0,0.002,0.003,0,0,0.004,0.001,0.012,0
125_2,0,0,0,0,0.007,0,0.004,0.001,0.002,0,0.004,0.026,0,0,0.005,0,0,0,0.001,0,0.001,0.001,0.001,0,0,0.002,0.001,0.013,0,0.056,0.001
125_4,0,0.073,0,0,0.035,0.527,0.247,0.274,0.003,0.516,0.436,0.007,0.006,0.574,0.012,0.008,0.212,0.153,0.629,0.024,0.339,0.16,0.007,0.141,0.398,0,0.001,0.569,0.439,0.974,0.701
128_1,0.001,0,0,0.01,0.007,0,0.001,0.003,0.012,0,0.004,0.029,0.002,0.001,0.005,0.007,0.001,0,0.016,0,0.002,0.022,0,0,0,0,0.001,0.012,0.011,0.011,0
128_2,0,0,0.002,0.002,0.006,0.001,0.001,0.003,0.017,0,0.003,0.027,0.004,0.003,0.006,0,0.007,0,0,0,0,0.006,0,0,0.002,0,0,0.003,0.003,0.014,0.019
128_4,0,0.134,0.009,0,0,0.268,0,0.011,0.152,0.012,0.304,0.014,0,0.139,0.325,0,0.187,0.014,0.368,0,0.195,0.031,0,0,0.193,0,0,0.222,0.622,0.659,0.543
134_1,0,0,0,0,0.005,0,0.014,0,0,0.007,0,0.028,0.001,0,0.004,0,0.005,0,0.001,0.001,0,0.002,0,0,0,0.001,0,0.006,0.003,0.01,0
134_2,0,0,0,0,0.005,0,0.004,0.002,0,0,0,0.024,0,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0.003,0.01,0
134_4,0,0.001,0.008,0.004,0.006,0.153,0.009,0.014,0.011,0.004,0.179,0.024,0.024,0.01,0.022,0.006,0.003,0.001,0.002,0.068,0.016,0.008,0.006,0,0.089,0.001,0.001,0.393,0.023,0.091,0.023
137_1,0,0,0,0,0.002,0,0,0.006,0,0,0,0.025,0,0,0,0,0,0,0,0,0.055,0,0,0,0,0,0,0.002,0,0.01,0
137_2,0,0,0,0,0.002,0,0,0.004,0,0,0,0.025,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0.014,0
137_4,0,0,0,0,0,0.238,0,0.428,0.366,0,0.882,0.004,0,0,0.001,0.023,0,0.823,1.82,0.001,0.114,0.553,0,0,0.194,0,0,0.508,0.098,0.836,0
140_1,0,0,0,0,0.003,0,0,0.006,0,0,0,0.031,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0.004,0,0.002,0,0,0
140_2,0,0,0,0,0,0,0,0.012,0,0,0,0.028,0,0,0.005,0,0,0,0.012,0.002,0,0.002,0,0,0,0,0,0.014,0,0.012,0
140_4,0,0.392,0.006,0.004,0.026,0.348,0.577,0.958,0.691,0.01,0.964,0.022,0.097,0.208,0.027,0.021,1.015,0.85,1.619,0.132,0.233,0.448,0.028,0,0.362,0.014,0.366,0.511,0.891,0.897,0.762
143_1,0,0,0,0,0,0,0,0,0,0,0,0.018,0.001,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0.005,0.008,0.005
143_2,0,0,0,0,0.001,0,0,0,0,0.003,0,0.023,0.007,0,0.001,0,0,0,0,0,0.007,0,0,0,0,0,0,0,0,0.008,0
