Plant_Number,ug_N_NO3_g_dry_soil,ug_N_NH4_g_dry_soil,ug_N_NH4_g_dry_soil_negto0,NO3ppm,NH4ppm,NH4ppm_flag_neg,NH4ppm_negto0,unfum_weight_g,fum_weight_g,Tin_wt_g,Wetsoil_wt_g,Drysoil_tin_wt_g,percent_soil_moisture_dry_weight,percent_soil_moisture_fresh_weight,ratio_dry_soil_to_fresh_soil,extraction_vol
4,4.601592265,0.595431582,0.595431582,0.901829508,0.116693905,NA,0.116693905,5.99,5.9917,1.3,4.98,6.1881,1.880076103,1.845381526,0.981546185,30
10,6.300301202,0.504212376,0.504212376,1.182642021,0.094646704,NA,0.094646704,6.02,6.0295,1.31,4.98,5.9685,6.9013631,6.455823293,0.935441767,30
25,8.396783296,0.221035395,0.221035395,1.585386284,0.04173342,NA,0.04173342,6,5.9745,1.29,5.02,6.0291,5.927285772,5.59561753,0.944043825,30
37,3.353300728,1.941751511,1.941751511,0.643186404,0.372441446,NA,0.372441446,6.05,6.0363,1.31,4.96,6.0275,5.140434552,4.889112903,0.951108871,30
49,4.425580042,-0.012908313,0,0.809456971,-0.002360984,1,0,5.98,6.0379,1.28,5.04,5.9046,8.982398478,8.242063492,0.917579365,30
52,3.534155853,-0.138904948,0,0.621016995,-0.024408186,1,0,6.05,5.9831,1.27,5.03,5.6528,14.76681573,12.8667992,0.871332008,30
55,3.587151732,0.03520768,0.03520768,0.65796601,0.006457897,NA,0.006457897,5.97,6.0427,1.28,4.99,5.8794,8.492412054,7.827655311,0.921723447,30
58,4.082959564,-0.520943965,0,0.709694631,-0.090549791,1,0,6.03,6.0505,1.29,4.99,5.6052,15.63774564,13.52304609,0.864769539,30
64,3.473774438,0.085453503,0.085453503,0.621016995,0.015276777,NA,0.015276777,5.99,6.0332,1.31,5.04,5.8226,11.68727563,10.46428571,0.895357143,30
67,3.732420388,0.036428911,0.036428911,0.661660911,0.006457897,NA,0.006457897,5.96,6.0303,1.3,4.96,5.7259,12.06760207,10.76814516,0.892318548,30
73,3.500215856,-0.063012673,0,0.621016995,-0.011179865,1,0,6.01,6.02,1.29,4.95,5.6739,12.91315952,11.43636364,0.885636364,30
79,3.44764007,-0.087587893,0,0.613627192,-0.015589305,1,0,6.03,6.04,1.28,5.04,5.7429,12.9310538,11.45039683,0.885496032,30
85,3.18225235,3.522225335,3.522225335,0.591457783,0.654645628,NA,0.654645628,5.99,5.98,1.3,5.01,5.9636,7.427738228,6.914171657,0.930858283,30
97,4.879406308,0.130371101,0.130371101,0.901829508,0.024095658,NA,0.024095658,5.95,5.97,1.31,4.99,5.9601,7.309520225,6.811623246,0.931883768,30
100,6.475873214,0.131122902,0.131122902,1.190031824,0.024095658,NA,0.024095658,5.95,5.95,1.3,5.03,5.9605,7.92833387,7.345924453,0.926540755,30
103,4.610309262,0.352018313,0.352018313,0.835321281,0.063780621,NA,0.063780621,5.97,5.97,1.32,5,5.8724,9.832176434,8.952,0.91048,30
