Plant_Number,height_cm,leaf_no,coverscale_1_5,root_length,notes_plantheight,notes_rootlength,observer
1,,,,,,empty pot,"Harry (height, leaf#, coverscale); Shanna (root length)"
2,5.6,2,2,15.6,yellow,,"Harry (height, leaf#, coverscale); Shanna (root length)"
3,,,,,,germinate didn’t take,"Harry (height, leaf#, coverscale); Shanna (root length)"
4,2.2,2,1,13.4,slightly yellow,,"Harry (height, leaf#, coverscale); Shanna (root length)"
5,,,,,,empty pot,"Harry (height, leaf#, coverscale); Shanna (root length)"
6,3.9,2,1,15.5,,,"Harry (height, leaf#, coverscale); Shanna (root length)"
7,,,,,,empty pot,"Harry (height, leaf#, coverscale); Shanna (root length)"
8,,,,,,empty pot,"Harry (height, leaf#, coverscale); Shanna (root length)"
9,,,,,,empty pot,"Harry (height, leaf#, coverscale); Shanna (root length)"
10,5.3,2,1,13.2,very yellow,,"Harry (height, leaf#, coverscale); Shanna (root length)"
11,5.5,2,1,15,yellowish,,"Harry (height, leaf#, coverscale); Shanna (root length)"
12,,,,1.8,,,"Harry (height, leaf#, coverscale); Shanna (root length)"
13,,,,,,germinate didn’t take,"Harry (height, leaf#, coverscale); Shanna (root length)"
14,3.4,2,2,13.1,,,"Harry (height, leaf#, coverscale); Shanna (root length)"
15,,,,,,germinate didn’t take,"Harry (height, leaf#, coverscale); Shanna (root length)"
16,,,,,,empty pot,"Harry (height, leaf#, coverscale); Shanna (root length)"
17,,,,,,empty pot,"Harry (height, leaf#, coverscale); Shanna (root length)"
18,5.4,2,2,14.8,,,"Harry (height, leaf#, coverscale); Shanna (root length)"
19,,,,,,empty pot,"Harry (height, leaf#, coverscale); Shanna (root length)"
20,2,3,3,8.3,,,"Harry (height, leaf#, coverscale); Shanna (root length)"
21,2.8,3,2,15.3,,,"Harry (height, leaf#, coverscale); Shanna (root length)"
22,5.1,2,1,15.6,,,"Harry (height, leaf#, coverscale); Shanna (root length)"
23,5.9,2,1,19.5,yellowish,,"Harry (height, leaf#, coverscale); Shanna (root length)"
24,,,,,,empty pot,"Harry (height, leaf#, coverscale); Shanna (root length)"
25,8.3,2,2,17.6,very yellow,,"Harry (height, leaf#, coverscale); Shanna (root length)"
26,8,2,2,19.6,some yellow,,"Harry (height, leaf#, coverscale); Shanna (root length)"
27,6,2,2,17.7,,used dirty tray,"Harry (height, leaf#, coverscale); Shanna (root length)"
28,,,,,,empty pot,"Harry (height, leaf#, coverscale); Shanna (root length)"
29,,,,,,empty pot,"Harry (height, leaf#, coverscale); Shanna (root length)"
30,3.5,2,1,18.8,,,"Harry (height, leaf#, coverscale); Shanna (root length)"
31,,,,,,empty pot,"Harry (height, leaf#, coverscale); Shanna (root length)"
32,,,,,,empty pot,"Harry (height, leaf#, coverscale); Shanna (root length)"
33,,,,,,empty pot,"Harry (height, leaf#, coverscale); Shanna (root length)"
34,,,,,,empty pot,"Harry (height, leaf#, coverscale); Shanna (root length)"
35,,,,,,empty pot,"Harry (height, leaf#, coverscale); Shanna (root length)"
36,,,,,,empty pot,"Harry (height, leaf#, coverscale); Shanna (root length)"
37,11.8,3,2,19.8,,complex root system,"Harry (height, leaf#, coverscale); Shanna (root length)"
38,,,,,,empty pot,"Harry (height, leaf#, coverscale); Shanna (root length)"
39,13.1,3,2,22.9,,complex root system,"Harry (height, leaf#, coverscale); Shanna (root length)"
40,,,,,,empty pot,"Harry (height, leaf#, coverscale); Shanna (root length)"
41,,,,,,empty pot,"Harry (height, leaf#, coverscale); Shanna (root length)"
42,9.8,3,1,12.1,,,"Harry (height, leaf#, coverscale); Shanna (root length)"
43,,,,,,empty pot,"Harry (height, leaf#, coverscale); Shanna (root length)"
44,8.6,3,2,17.7,,,"Harry (height, leaf#, coverscale); Shanna (root length)"
45,,,,,,empty pot,"Harry (height, leaf#, coverscale); Shanna (root length)"
46,,,,,,empty pot,"Harry (height, leaf#, coverscale); Shanna (root length)"
47,11.4,3,1,20.8,,less sand stuck to roots,"Harry (height, leaf#, coverscale); Shanna (root length)"
48,,,,,,empty pot ,"Harry (height, leaf#, coverscale); Shanna (root length)"
49,8.6,2,1,16.4,,,"Harry (height, leaf#, coverscale); Shanna (root length)"
50,8.7,3,2,16.5,,,"Harry (height, leaf#, coverscale); Shanna (root length)"
51,7.7,5,2,15.1,,,"Harry (height, leaf#, coverscale); Shanna (root length)"
52,13.8,4,2,18.5,,,"Harry (height, leaf#, coverscale); Shanna (root length)"
53,15.2,4,1,20.4,uprooted,,"Harry (height, leaf#, coverscale); Shanna (root length)"
54,7.1,4,1,17,,,"Harry (height, leaf#, coverscale); Tayler (root length)"
55,8.1,4,1,17.5,,,"Harry (height, leaf#, coverscale); Tayler (root length)"
56,6.1,3,1,16.1,,,"Harry (height, leaf#, coverscale); Tayler (root length)"
57,8.5,5,3,14.6,,,"Harry (height, leaf#, coverscale); Tayler (root length)"
58,8.9,2,1,15.5,removed 1 monocot,,"Harry (height, leaf#, coverscale); Tayler (root length)"
59,11.9,3,2,18.3,1 yellow leaf,,"Harry (height, leaf#, coverscale); Tayler (root length)"
60,,,,,,empty pot,"Harry (height, leaf#, coverscale); Tayler (root length)"
61,,,,,,empty pot,"Harry (height, leaf#, coverscale); Tayler (root length)"
62,8.1,2,1,16,,,"Harry (height, leaf#, coverscale); Tayler (root length)"
63,,,,,,empty pot,"Harry (height, leaf#, coverscale); Tayler (root length)"
64,5.7,4,1,14.8,,,"Harry (height, leaf#, coverscale); Tayler (root length)"
65,8.6,5,3,13,,,"Harry (height, leaf#, coverscale); Tayler (root length)"
66,4.1,2,1,15.6,,,"Harry (height, leaf#, coverscale); Tayler (root length)"
67,6.5,4,1,14.5,,,"Harry (height, leaf#, coverscale); Tayler (root length)"
68,11.8,3,1,14.3,,,"Harry (height, leaf#, coverscale); Tayler (root length)"
69,10,3,1,16.6,,,"Harry (height, leaf#, coverscale); Tayler (root length)"
70,,,,,,empty pot,"Harry (height, leaf#, coverscale); Tayler (root length)"
71,,,,,,empty pot,"Harry (height, leaf#, coverscale); Tayler (root length)"
72,10.6,3,2,16.4,,,"Harry (height, leaf#, coverscale); Tayler (root length)"
73,8.7,3,1,14.3,,,"Harry (height, leaf#, coverscale); Tayler (root length)"
74,,,,,,empty pot,"Harry (height, leaf#, coverscale); Tayler (root length)"
75,6.1,4,2,14.2,,,"Harry (height, leaf#, coverscale); Tayler (root length)"
76,,,,,,empty pot,"Harry (height, leaf#, coverscale); Tayler (root length)"
77,,,,,,empty pot,"Harry (height, leaf#, coverscale); Tayler (root length)"
78,,,,,,empty pot,"Harry (height, leaf#, coverscale); Tayler (root length)"
79,2,2,1,7.6,looks dry,,"Harry (height, leaf#, coverscale); Tayler (root length)"
80,,,,,,empty pot,"Harry (height, leaf#, coverscale); Tayler (root length)"
81,,,,,,empty pot,"Harry (height, leaf#, coverscale); Tayler (root length)"
82,,,,,,empty pot,"Harry (height, leaf#, coverscale); Tayler (root length)"
83,,,,,,empty pot,"Harry (height, leaf#, coverscale); Tayler (root length)"
84,12.3,3,2,14.6,,,"Harry (height, leaf#, coverscale); Tayler (root length)"
85,11.6,3,2,14.2,,,"Harry (height, leaf#, coverscale); Tayler (root length)"
86,10,3,1,14.2,,,"Harry (height, leaf#, coverscale); Tayler (root length)"
87,,,,,,empty pot,"Harry (height, leaf#, coverscale); Tayler (root length)"
88,,,,,,empty pot,"Harry (height, leaf#, coverscale); Tayler (root length)"
89,4.6,2,1,7.8,,,"Harry (height, leaf#, coverscale); Tayler (root length)"
90,,,,,,empty pot,"Harry (height, leaf#, coverscale); Tayler (root length)"
91,7.4,2,5,,DEAD,DEAD,"Audrey (height, leaf#, coverscale); Tayler (root length)"
92,9,3,3,NA,cant measure,,"Audrey (height, leaf#, coverscale); Tayler (root length)"
93,9.4,3,3,,,,"Audrey (height, leaf#, coverscale); Tayler (root length)"
94,6,3,5,,,DEAD,"Audrey (height, leaf#, coverscale); Tayler (root length)"
95,9.1,2,5,,,DEAD,"Audrey (height, leaf#, coverscale); Tayler (root length)"
96,4.6,2,5,,,DEAD,"Audrey (height, leaf#, coverscale); Tayler (root length)"
97,9.5,3,3,16.2,,,"Audrey (height, leaf#, coverscale); Tayler (root length)"
98,7.8,3,3,13,,,"Audrey (height, leaf#, coverscale); Tayler (root length)"
99,2.5,3,3,,,,"Audrey (height, leaf#, coverscale); Tayler (root length)"
100,5.7,3,3,10,,,"Audrey (height, leaf#, coverscale); Tayler (root length)"
101,6,3,2,15.1,,,"Audrey (height, leaf#, coverscale); Tayler (root length)"
102,7.8,3,2,,,,"Audrey (height, leaf#, coverscale); Tayler (root length)"
103,6.6,2,3,12.2,,,"Audrey (height, leaf#, coverscale); Tayler (root length)"
104,7.5,3,2,NA,cant measure,,"Audrey (height, leaf#, coverscale); Tayler (root length)"
105,9,2,3,,,,"Audrey (height, leaf#, coverscale); Tayler (root length)"
106,3.8,2,5,NA,"mostly dead, cant measure",DEAD,"Audrey (height, leaf#, coverscale); Tayler (root length)"
107,9.3,3,2,14.6,,,"Audrey (height, leaf#, coverscale); Tayler (root length)"
108,8.6,3,2,,,,"Audrey (height, leaf#, coverscale); Tayler (root length)"
109,6.8,3,2,13.7,,,"Audrey (height, leaf#, coverscale); Tayler (root length)"
110,11.5,3,3,13.4,,,"Audrey (height, leaf#, coverscale); Tayler (root length)"
111,10.3,3,3,,,,"Audrey (height, leaf#, coverscale); Tayler (root length)"
112,7.4,3,2,14.3,,,"Audrey (height, leaf#, coverscale); Tayler (root length)"
113,9.5,3,3,15.5,,,"Audrey (height, leaf#, coverscale); Tayler (root length)"
114,7.7,3,3,,,,"Audrey (height, leaf#, coverscale); Tayler (root length)"
115,7.2,3,3,15,,,"Audrey (height, leaf#, coverscale); Tayler (root length)"
116,1.5,2,5,5,"mostly dead, dry",DEAD,"Audrey (height, leaf#, coverscale); Tayler (root length)"
117,6.6,3,4,,,,"Audrey (height, leaf#, coverscale); Tayler (root length)"
118,12.8,3,2,20,,,"Audrey (height, leaf#, coverscale); Lukas (root length)"
119,7.4,2,5,,,DEAD,"Audrey (height, leaf#, coverscale); Lukas (root length)"
120,8.1,3,2,,,,"Audrey (height, leaf#, coverscale); Lukas (root length)"
121,14.4,4,3,17.5,,,"Audrey (height, leaf#, coverscale); Lukas (root length)"
122,3.6,2,5,,,DEAD,"Audrey (height, leaf#, coverscale); Lukas (root length)"
123,,,,,,empty pot,"Audrey (height, leaf#, coverscale); Lukas (root length)"
124,21.4,4,2,15.1,,,"Audrey (height, leaf#, coverscale); Lukas (root length)"
125,15.5,4,2,14.8,,,"Audrey (height, leaf#, coverscale); Lukas (root length)"
126,2.3,1,5,,,DEAD,"Audrey (height, leaf#, coverscale); Lukas (root length)"
127,16,3,2,13.5,,,"Audrey (height, leaf#, coverscale); Lukas (root length)"
128,14.5,3,2,15,,,"Audrey (height, leaf#, coverscale); Lukas (root length)"
129,14,3,2,,,,"Audrey (height, leaf#, coverscale); Lukas (root length)"
130,6.5,4,4,NA,cant measure,,"Audrey (height, leaf#, coverscale); Tayler (root length)"
131,2.8,2,5,,,DEAD,"Audrey (height, leaf#, coverscale); Tayler (root length)"
132,12.4,4,2,,,,"Audrey (height, leaf#, coverscale); Tayler (root length)"
133,7.5,3,5,NA,cant measure,DEAD,"Audrey (height, leaf#, coverscale); Tayler (root length)"
134,9.5,6,4,13.2,,might be 2 plants,"Audrey (height, leaf#, coverscale); Tayler (root length)"
135,16.6,4,3,,,,"Audrey (height, leaf#, coverscale); Tayler (root length)"
136,7.7,3,1,16.5,,,"Audrey (height, leaf#, coverscale); Shanna (root length)"
137,10,3,2,16.3,,,"Audrey (height, leaf#, coverscale); Shanna (root length)"
138,4.4,2,4,,,,"Audrey (height, leaf#, coverscale); Shanna (root length)"
139,10.6,3,1,17.2,,,"Audrey (height, leaf#, coverscale); Shanna (root length)"
140,5.3,3,2,29.3,,,"Audrey (height, leaf#, coverscale); Shanna (root length)"
141,11.1,3,1,,,,"Audrey (height, leaf#, coverscale); Shanna (root length)"
142,8.7,3,1,15.9,,,"Audrey (height, leaf#, coverscale); Shanna (root length)"
143,9.9,4,3,30.1,,,"Audrey (height, leaf#, coverscale); Shanna (root length)"
144,11.1,5,1,,,,"Audrey (height, leaf#, coverscale); Shanna (root length)"
145,9.5,3,1,15.1,,,"Audrey (height, leaf#, coverscale); Shanna (root length)"
146,11.3,3,1,15.5,,,"Audrey (height, leaf#, coverscale); Shanna (root length)"
147,8.4,2,1,,,,"Audrey (height, leaf#, coverscale); Shanna (root length)"
148,12.7,3,1,17.8,,,"Audrey (height, leaf#, coverscale); Shanna (root length)"
149,10.2,3,2,22.6,,,"Audrey (height, leaf#, coverscale); Shanna (root length)"
150,10.8,3,1,,,,"Audrey (height, leaf#, coverscale); Shanna (root length)"
151,5.1,2,5,6.8,,DEAD,"Audrey (height, leaf#, coverscale); Shanna (root length)"
152,11.4,3,2,15.6,,,"Audrey (height, leaf#, coverscale); Shanna (root length)"
153,2.1,1,2,,,,"Audrey (height, leaf#, coverscale); Shanna (root length)"
154,12.2,4,1,15.2,,,"Audrey (height, leaf#, coverscale); Tayler (root length)"
155,11.3,3,1,15.4,,,"Audrey (height, leaf#, coverscale); Tayler (root length)"
156,12.2,4,2,,,,"Audrey (height, leaf#, coverscale); Tayler (root length)"
157,15.1,4,2,15.1,,,"Audrey (height, leaf#, coverscale); Tayler (root length)"
158,12.1,3,2,15.9,,,"Audrey (height, leaf#, coverscale); Tayler (root length)"
159,11.6,3,2,,,,"Audrey (height, leaf#, coverscale); Tayler (root length)"
160,9.7,4,2,14.6,,,"Audrey (height, leaf#, coverscale); Tayler (root length)"
161,13,4,1,17.5,,,"Audrey (height, leaf#, coverscale); Tayler (root length)"
162,12,3,1,,,,"Audrey (height, leaf#, coverscale); Tayler (root length)"
163,15.7,4,2,17.4,,,"Audrey (height, leaf#, coverscale); Tayler (root length)"
164,10.1,4,1,15.9,,,"Audrey (height, leaf#, coverscale); Tayler (root length)"
165,13.2,3,1,,,,"Audrey (height, leaf#, coverscale); Tayler (root length)"
166,19.4,5,2,14.8,,,"Audrey (height, leaf#, coverscale); Tayler (root length)"
167,24,5,2,17.5,,,"Audrey (height, leaf#, coverscale); Tayler (root length)"
168,19.5,5,3,,,,"Audrey (height, leaf#, coverscale); Tayler (root length)"
169,24.7,3,1,16.2,,,"Audrey (height, leaf#, coverscale); Tayler (root length)"
170,22.2,4,2,16.3,,,"Audrey (height, leaf#, coverscale); Tayler (root length)"
171,22.5,3,2,,,,"Audrey (height, leaf#, coverscale); Tayler (root length)"
172,20.2,4,1,19.7,,,"Audrey (height, leaf#, coverscale); Tayler (root length)"
173,22,5,2,16.8,,,"Audrey (height, leaf#, coverscale); Tayler (root length)"
174,24.3,3,1,,,,"Audrey (height, leaf#, coverscale); Tayler (root length)"
175,24.7,5,2,15.9,,,"Audrey (height, leaf#, coverscale); Tayler (root length)"
176,26,3,2,14.8,,,"Audrey (height, leaf#, coverscale); Tayler (root length)"
177,20.9,5,1,,,,"Audrey (height, leaf#, coverscale); Tayler (root length)"
178,20.9,5,2,16.5,,,"Audrey (height, leaf#, coverscale); Tayler (root length)"
179,19.3,4,2,16.6,,,"Audrey (height, leaf#, coverscale); Tayler (root length)"
180,23.5,5,2,,,,"Audrey (height, leaf#, coverscale); Tayler (root length)"
