Plant_Number,height_cm,leaf_num,coverscale_1_5,notes,date,observer,exp_period,date_raw,surv
1,0,,,,6_20,Audrey,weekly_sur,6/20/2018,
2,2.8,2,1,,6_20,Audrey,weekly_sur,6/20/2018,
3,0,,,,6_20,Audrey,weekly_sur,6/20/2018,
4,1.1,1,,,6_20,Audrey,weekly_sur,6/20/2018,
5,0,,,,6_20,Audrey,weekly_sur,6/20/2018,
6,3,1,1,,6_20,Audrey,weekly_sur,6/20/2018,
7,0,,,,6_20,Audrey,weekly_sur,6/20/2018,
8,0,,,,6_20,Audrey,weekly_sur,6/20/2018,
9,0,,,,6_20,Audrey,weekly_sur,6/20/2018,
10,2.9,1,1,,6_20,Audrey,weekly_sur,6/20/2018,
11,2.6,2,1,,6_20,Audrey,weekly_sur,6/20/2018,
12,1.6,1,1,looks very wilted,6_20,Audrey,weekly_sur,6/20/2018,
13,0,,,,6_20,Audrey,weekly_sur,6/20/2018,
14,1.3,1,1,,6_20,Audrey,weekly_sur,6/20/2018,
15,0,,,,6_20,Audrey,weekly_sur,6/20/2018,
16,0,,,,6_20,Audrey,weekly_sur,6/20/2018,
17,0,,,,6_20,Audrey,weekly_sur,6/20/2018,
18,2.5,1,1,1 dicot removed,6_20,Audrey,weekly_sur,6/20/2018,
19,0,,,,6_20,Audrey,weekly_sur,6/20/2018,
20,1,2,1,,6_20,Audrey,weekly_sur,6/20/2018,
21,0.9,1,1,,6_20,Audrey,weekly_sur,6/20/2018,
22,2.1,1,1,,6_20,Audrey,weekly_sur,6/20/2018,
23,1.9,1,1,,6_20,Audrey,weekly_sur,6/20/2018,
24,0,,,,6_20,Audrey,weekly_sur,6/20/2018,
25,3.9,2,1,,6_20,Audrey,weekly_sur,6/20/2018,
26,3,1,1,,6_20,Audrey,weekly_sur,6/20/2018,
27,1.2,1,1,,6_20,Audrey,weekly_sur,6/20/2018,
28,0,,,,6_20,Audrey,weekly_sur,6/20/2018,
29,0,,,,6_20,Audrey,weekly_sur,6/20/2018,
30,2.1,1,1,,6_20,Audrey,weekly_sur,6/20/2018,
31,0,,,,6_20,Audrey,weekly_sur,6/20/2018,
32,0,,,,6_20,Audrey,weekly_sur,6/20/2018,
33,0,,,,6_20,Audrey,weekly_sur,6/20/2018,
34,0,,,,6_20,Audrey,weekly_sur,6/20/2018,
35,0,,,,6_20,Audrey,weekly_sur,6/20/2018,
36,0,,,,6_20,Audrey,weekly_sur,6/20/2018,
37,4,2,1,,6_20,Audrey,weekly_sur,6/20/2018,
38,0,,,,6_20,Audrey,weekly_sur,6/20/2018,
