date,Plant_Number,potweight_g,notes,observer,date_raw
6_13,1,202.5,,NEED,6/13/2018
6_13,2,199.5,,NEED,6/13/2018
6_13,3,209.5,,NEED,6/13/2018
6_13,4,223,,NEED,6/13/2018
6_13,5,230,,NEED,6/13/2018
6_13,6,220,,NEED,6/13/2018
6_13,7,210.5,,NEED,6/13/2018
6_13,8,213,,NEED,6/13/2018
6_13,9,215,,NEED,6/13/2018
6_13,10,200,,NEED,6/13/2018
6_13,11,180,,NEED,6/13/2018
6_13,12,217.5,,NEED,6/13/2018
6_13,13,207,,NEED,6/13/2018
6_13,14,214.5,,NEED,6/13/2018
6_13,15,209,,NEED,6/13/2018
6_13,16,196.5,,NEED,6/13/2018
6_13,17,207,,NEED,6/13/2018
6_13,18,202,,NEED,6/13/2018
6_13,19,142,,NEED,6/13/2018
6_13,20,121.5,,NEED,6/13/2018
6_13,21,194.5,,NEED,6/13/2018
6_13,22,173,,NEED,6/13/2018
6_13,23,213,,NEED,6/13/2018
6_13,24,164,,NEED,6/13/2018
6_13,25,191,,NEED,6/13/2018
6_13,26,209.5,,NEED,6/13/2018
6_13,27,181,,NEED,6/13/2018
6_13,28,198,,NEED,6/13/2018
6_13,29,202,,NEED,6/13/2018
6_13,30,212,,NEED,6/13/2018
6_13,31,203,,NEED,6/13/2018
6_13,32,195.5,,NEED,6/13/2018
6_13,33,194.5,,NEED,6/13/2018
6_13,34,184.5,,NEED,6/13/2018
6_13,35,190,,NEED,6/13/2018
6_13,36,200,,NEED,6/13/2018
6_13,37,209.5,,NEED,6/13/2018
6_13,38,203,,NEED,6/13/2018
6_13,39,196.5,,NEED,6/13/2018
6_13,40,192.5,,NEED,6/13/2018
6_13,41,197.5,,NEED,6/13/2018
6_13,42,165.5,,NEED,6/13/2018
6_13,43,199,,NEED,6/13/2018
6_13,44,197,,NEED,6/13/2018
6_13,45,208.5,,NEED,6/13/2018
6_13,46,208,,NEED,6/13/2018
6_13,47,190.5,,NEED,6/13/2018
6_13,48,198,,NEED,6/13/2018
6_13,49,209,,NEED,6/13/2018
6_13,50,219,,NEED,6/13/2018
6_13,51,215.5,,NEED,6/13/2018
6_13,52,188,,NEED,6/13/2018
6_13,53,214.5,,NEED,6/13/2018
6_13,54,152,,NEED,6/13/2018
6_13,55,208.5,,NEED,6/13/2018
6_13,56,213.5,,NEED,6/13/2018
6_13,57,221.5,,NEED,6/13/2018
6_13,58,197,,NEED,6/13/2018
6_13,59,208,,NEED,6/13/2018
6_13,60,205,,NEED,6/13/2018
6_13,61,210,,NEED,6/13/2018
6_13,62,200,,NEED,6/13/2018
6_13,63,211,,NEED,6/13/2018
6_13,64,193,,NEED,6/13/2018
6_13,65,202.5,,NEED,6/13/2018
6_13,66,177.5,,NEED,6/13/2018
6_13,67,203,,NEED,6/13/2018
6_13,68,197,,NEED,6/13/2018
6_13,69,196,,NEED,6/13/2018
6_13,70,205,,NEED,6/13/2018
6_13,71,112,,NEED,6/13/2018
6_13,72,197,,NEED,6/13/2018
6_13,73,205.5,,NEED,6/13/2018
6_13,74,207,,NEED,6/13/2018
6_13,75,201,,NEED,6/13/2018
6_13,76,213,,NEED,6/13/2018
6_13,77,174,,NEED,6/13/2018
6_13,78,171,,NEED,6/13/2018
6_13,79,207.5,,NEED,6/13/2018
6_13,80,185.5,,NEED,6/13/2018
6_13,81,181.5,,NEED,6/13/2018
6_13,82,197,,NEED,6/13/2018
6_13,83,191,,NEED,6/13/2018
6_13,84,179,,NEED,6/13/2018
6_13,85,188.5,,NEED,6/13/2018
6_13,86,188.5,,NEED,6/13/2018
6_13,87,184.5,,NEED,6/13/2018
6_13,88,160,,NEED,6/13/2018
6_13,89,188,,NEED,6/13/2018
6_13,90,216,,NEED,6/13/2018
6_13,91,174.5,,NEED,6/13/2018
6_13,92,185,,NEED,6/13/2018
6_13,93,176.5,,NEED,6/13/2018
6_13,94,174,,NEED,6/13/2018
6_13,95,176,,NEED,6/13/2018
6_13,96,197,,NEED,6/13/2018
6_13,97,194.5,,NEED,6/13/2018
6_13,98,197,,NEED,6/13/2018
6_13,99,175,,NEED,6/13/2018
6_13,100,186.5,,NEED,6/13/2018
6_13,101,200,,NEED,6/13/2018
6_13,102,196,,NEED,6/13/2018
6_13,103,173,,NEED,6/13/2018
6_13,104,211.5,,NEED,6/13/2018
6_13,105,153,,NEED,6/13/2018
6_13,106,173.5,,NEED,6/13/2018
6_13,107,154,,NEED,6/13/2018
6_13,108,204,,NEED,6/13/2018
6_13,109,196,,NEED,6/13/2018
6_13,110,199,,NEED,6/13/2018
6_13,111,196.5,,NEED,6/13/2018
6_13,112,189.5,,NEED,6/13/2018
6_13,113,199.5,,NEED,6/13/2018
6_13,114,190.5,,NEED,6/13/2018
6_13,115,208,,NEED,6/13/2018
6_13,116,178,,NEED,6/13/2018
6_13,117,201,,NEED,6/13/2018
6_13,118,162,,NEED,6/13/2018
6_13,119,194.5,,NEED,6/13/2018
6_13,120,167,,NEED,6/13/2018
6_13,121,189,,NEED,6/13/2018
6_13,122,175,,NEED,6/13/2018
6_13,123,171,,NEED,6/13/2018
6_13,124,175,,NEED,6/13/2018
6_13,125,178,,NEED,6/13/2018
6_13,126,170.5,,NEED,6/13/2018
6_13,127,172,,NEED,6/13/2018
6_13,128,198.5,,NEED,6/13/2018
6_13,129,175.5,,NEED,6/13/2018
6_13,130,170,,NEED,6/13/2018
6_13,131,181.5,,NEED,6/13/2018
6_13,132,174.5,,NEED,6/13/2018
6_13,133,155,,NEED,6/13/2018
6_13,134,178.5,,NEED,6/13/2018
6_13,135,178.5,,NEED,6/13/2018
6_13,136,156,,NEED,6/13/2018
6_13,137,170.5,,NEED,6/13/2018
6_13,138,172.5,,NEED,6/13/2018
6_13,139,206,,NEED,6/13/2018
6_13,140,206.5,,NEED,6/13/2018
6_13,141,175.5,,NEED,6/13/2018
6_13,142,178.5,,NEED,6/13/2018
6_13,143,202,,NEED,6/13/2018
6_13,144,216.5,,NEED,6/13/2018
6_13,145,184.5,,NEED,6/13/2018
6_13,146,176,,NEED,6/13/2018
6_13,147,176,,NEED,6/13/2018
6_13,148,158.5,,NEED,6/13/2018
6_13,149,181.5,,NEED,6/13/2018
6_13,150,195,,NEED,6/13/2018
6_13,151,188,,NEED,6/13/2018
6_13,152,208,,NEED,6/13/2018
6_13,153,185,,NEED,6/13/2018
6_13,154,185.5,,NEED,6/13/2018
6_13,155,195,,NEED,6/13/2018
6_13,156,192,,NEED,6/13/2018
6_13,157,186,,NEED,6/13/2018
6_13,158,207.5,,NEED,6/13/2018
6_13,159,188.5,,NEED,6/13/2018
6_13,160,173,,NEED,6/13/2018
6_13,161,185.5,,NEED,6/13/2018
6_13,162,206,,NEED,6/13/2018
6_13,163,220.5,,NEED,6/13/2018
6_13,164,190.5,,NEED,6/13/2018
6_13,165,205.5,,NEED,6/13/2018
6_13,166,204.5,,NEED,6/13/2018
6_13,167,173.5,,NEED,6/13/2018
6_13,168,175,,NEED,6/13/2018
6_13,169,175.5,,NEED,6/13/2018
6_13,170,171,,NEED,6/13/2018
6_13,171,181.5,,NEED,6/13/2018
6_13,172,177,,NEED,6/13/2018
6_13,173,175.5,,NEED,6/13/2018
6_13,174,196,,NEED,6/13/2018
6_13,175,203,,NEED,6/13/2018
6_13,176,186,,NEED,6/13/2018
6_13,177,180,,NEED,6/13/2018
6_13,178,181,,NEED,6/13/2018
6_13,179,170,,NEED,6/13/2018
6_13,180,169,,NEED,6/13/2018
6_19,1,185,,NEED,6/19/2018
6_19,2,181,,NEED,6/19/2018
6_19,3,182.5,,NEED,6/19/2018
6_19,4,196.5,,NEED,6/19/2018
6_19,5,214.5,,NEED,6/19/2018
6_19,6,193.5,,NEED,6/19/2018
6_19,7,188,,NEED,6/19/2018
6_19,8,193,,NEED,6/19/2018
6_19,9,197,,NEED,6/19/2018
6_19,10,179,,NEED,6/19/2018
6_19,11,158.5,,NEED,6/19/2018
6_19,12,189,,NEED,6/19/2018
6_19,13,188.5,,NEED,6/19/2018
6_19,14,192.5,,NEED,6/19/2018
6_19,15,188,,NEED,6/19/2018
6_19,16,170.5,,NEED,6/19/2018
6_19,17,187.5,,NEED,6/19/2018
6_19,18,180,,NEED,6/19/2018
6_19,19,135,,NEED,6/19/2018
6_19,20,199.5,,NEED,6/19/2018
6_19,21,170,,NEED,6/19/2018
6_19,22,157,,NEED,6/19/2018
6_19,23,191,,NEED,6/19/2018
6_19,24,151.5,,NEED,6/19/2018
6_19,25,168,,NEED,6/19/2018
6_19,26,184.5,,NEED,6/19/2018
6_19,27,166.5,,NEED,6/19/2018
6_19,28,176.5,,NEED,6/19/2018
6_19,29,182.5,,NEED,6/19/2018
6_19,30,190.5,,NEED,6/19/2018
6_19,31,188,,NEED,6/19/2018
6_19,32,190.5,,NEED,6/19/2018
6_19,33,186,,NEED,6/19/2018
6_19,34,174.5,,NEED,6/19/2018
6_19,35,177,,NEED,6/19/2018
6_19,36,187,,NEED,6/19/2018
6_19,37,192.5,,NEED,6/19/2018
6_19,38,178,,NEED,6/19/2018
6_19,39,181.5,,NEED,6/19/2018
6_19,40,185.5,,NEED,6/19/2018
6_19,41,192,,NEED,6/19/2018
6_19,42,159.5,,NEED,6/19/2018
6_19,43,188.5,,NEED,6/19/2018
6_19,44,183.5,,NEED,6/19/2018
6_19,45,190.5,,NEED,6/19/2018
6_19,46,190.5,,NEED,6/19/2018
6_19,47,181,,NEED,6/19/2018
6_19,48,185,,NEED,6/19/2018
6_19,49,200.5,,NEED,6/19/2018
6_19,50,210.5,,NEED,6/19/2018
6_19,51,198.5,,NEED,6/19/2018
6_19,52,180,,NEED,6/19/2018
6_19,53,197,,NEED,6/19/2018
6_19,54,152,,NEED,6/19/2018
6_19,55,195.5,,NEED,6/19/2018
6_19,56,199,,NEED,6/19/2018
6_19,57,207,,NEED,6/19/2018
6_19,58,187,,NEED,6/19/2018
6_19,59,197,,NEED,6/19/2018
6_19,60,195.5,,NEED,6/19/2018
6_19,61,197.5,,NEED,6/19/2018
6_19,62,186,,NEED,6/19/2018
6_19,63,194.5,,NEED,6/19/2018
6_19,64,184.5,,NEED,6/19/2018
6_19,65,192.5,,NEED,6/19/2018
6_19,66,171.5,,NEED,6/19/2018
6_19,67,187,,NEED,6/19/2018
6_19,68,189.5,,NEED,6/19/2018
6_19,69,179.5,,NEED,6/19/2018
6_19,70,190,,NEED,6/19/2018
6_19,71,202,,NEED,6/19/2018
6_19,72,181.5,,NEED,6/19/2018
6_19,73,192,,NEED,6/19/2018
6_19,74,192,,NEED,6/19/2018
6_19,75,190,,NEED,6/19/2018
6_19,76,204.5,,NEED,6/19/2018
6_19,77,176.5,,NEED,6/19/2018
6_19,78,174,,NEED,6/19/2018
6_19,79,196.5,,NEED,6/19/2018
6_19,80,179.5,,NEED,6/19/2018
6_19,81,182.5,,NEED,6/19/2018
6_19,82,192,,NEED,6/19/2018
6_19,83,186,,NEED,6/19/2018
6_19,84,177,,NEED,6/19/2018
6_19,85,186,,NEED,6/19/2018
6_19,86,189,,NEED,6/19/2018
6_19,87,183.5,,NEED,6/19/2018
6_19,88,152,,NEED,6/19/2018
6_19,89,187,,NEED,6/19/2018
6_19,90,212,,NEED,6/19/2018
6_19,91,155,,NEED,6/19/2018
6_19,92,167.5,,NEED,6/19/2018
6_19,93,167.5,,NEED,6/19/2018
6_19,94,161,,NEED,6/19/2018
6_19,95,162,,NEED,6/19/2018
6_19,96,181,,NEED,6/19/2018
6_19,97,174.5,,NEED,6/19/2018
6_19,98,184,,NEED,6/19/2018
6_19,99,162,,NEED,6/19/2018
6_19,100,176,,NEED,6/19/2018
6_19,101,188,,NEED,6/19/2018
6_19,102,184.5,,NEED,6/19/2018
6_19,103,132.5,,NEED,6/19/2018
6_19,104,196.5,,NEED,6/19/2018
6_19,105,141,,NEED,6/19/2018
6_19,106,159,,NEED,6/19/2018
6_19,107,140,,NEED,6/19/2018
6_19,108,181.5,,NEED,6/19/2018
6_19,109,178,,NEED,6/19/2018
6_19,110,180.5,,NEED,6/19/2018
6_19,111,179.5,,NEED,6/19/2018
6_19,112,178,,NEED,6/19/2018
6_19,113,187,,NEED,6/19/2018
6_19,114,175,,NEED,6/19/2018
6_19,115,189,,NEED,6/19/2018
6_19,116,157,,NEED,6/19/2018
6_19,117,180,,NEED,6/19/2018
6_19,118,146,,NEED,6/19/2018
6_19,119,179,,NEED,6/19/2018
6_19,120,156.5,,NEED,6/19/2018
6_19,121,181.5,,NEED,6/19/2018
6_19,122,168.5,,NEED,6/19/2018
6_19,123,165,,NEED,6/19/2018
6_19,124,167,,NEED,6/19/2018
6_19,125,170.5,,NEED,6/19/2018
6_19,126,162,,NEED,6/19/2018
6_19,127,160.5,,NEED,6/19/2018
6_19,128,183.5,,NEED,6/19/2018
6_19,129,166.5,,NEED,6/19/2018
6_19,130,164,,NEED,6/19/2018
6_19,131,174.5,,NEED,6/19/2018
6_19,132,167.5,,NEED,6/19/2018
6_19,133,148.5,,NEED,6/19/2018
6_19,134,174,,NEED,6/19/2018
6_19,135,171,,NEED,6/19/2018
6_19,136,154.5,,NEED,6/19/2018
6_19,137,168,,NEED,6/19/2018
6_19,138,166,,NEED,6/19/2018
6_19,139,197,,NEED,6/19/2018
6_19,140,197,,NEED,6/19/2018
6_19,141,162.5,,NEED,6/19/2018
6_19,142,172.5,,NEED,6/19/2018
6_19,143,192,,NEED,6/19/2018
6_19,144,205,,NEED,6/19/2018
6_19,145,173,,NEED,6/19/2018
6_19,146,169,,NEED,6/19/2018
6_19,147,165,,NEED,6/19/2018
6_19,148,156.5,,NEED,6/19/2018
6_19,149,171.5,,NEED,6/19/2018
6_19,150,186.5,,NEED,6/19/2018
6_19,151,177,,NEED,6/19/2018
6_19,152,200,,NEED,6/19/2018
6_19,153,175,,NEED,6/19/2018
6_19,154,169.5,,NEED,6/19/2018
6_19,155,186,,NEED,6/19/2018
6_19,156,182.5,,NEED,6/19/2018
6_19,157,183,,NEED,6/19/2018
6_19,158,200,,NEED,6/19/2018
6_19,159,183,,NEED,6/19/2018
6_19,160,162.5,,NEED,6/19/2018
6_19,161,179,,NEED,6/19/2018
6_19,162,192.9,,NEED,6/19/2018
6_19,163,205,,NEED,6/19/2018
6_19,164,182.5,,NEED,6/19/2018
6_19,165,197,,NEED,6/19/2018
6_19,166,195.5,,NEED,6/19/2018
6_19,167,173,,NEED,6/19/2018
6_19,168,174,,NEED,6/19/2018
6_19,169,177,,NEED,6/19/2018
6_19,170,174,,NEED,6/19/2018
6_19,171,182,,NEED,6/19/2018
6_19,172,176.5,,NEED,6/19/2018
6_19,173,172.5,,NEED,6/19/2018
6_19,174,194,,NEED,6/19/2018
6_19,175,199,,NEED,6/19/2018
6_19,176,187.5,,NEED,6/19/2018
6_19,177,180.5,,NEED,6/19/2018
6_19,178,181.5,,NEED,6/19/2018
6_19,179,172,,NEED,6/19/2018
6_19,180,168,,NEED,6/19/2018
6_25,1,182.5,,NEED,6/25/2018
6_25,2,179,,NEED,6/25/2018
6_25,3,179,,NEED,6/25/2018
6_25,4,191,,NEED,6/25/2018
6_25,5,209.5,,NEED,6/25/2018
6_25,6,190.5,,NEED,6/25/2018
6_25,7,185,,NEED,6/25/2018
6_25,8,188.5,,NEED,6/25/2018
6_25,9,194.5,,NEED,6/25/2018
6_25,10,175,,NEED,6/25/2018
6_25,11,155.5,,NEED,6/25/2018
6_25,12,183,,NEED,6/25/2018
6_25,13,186,,NEED,6/25/2018
6_25,14,189.5,,NEED,6/25/2018
6_25,15,180.5,,NEED,6/25/2018
6_25,16,167.5,,NEED,6/25/2018
6_25,17,185,,NEED,6/25/2018
6_25,18,176,,NEED,6/25/2018
6_25,19,133,,NEED,6/25/2018
6_25,20,196.5,,NEED,6/25/2018
6_25,21,168,,NEED,6/25/2018
6_25,22,155.5,,NEED,6/25/2018
6_25,23,187.5,,NEED,6/25/2018
6_25,24,150,,NEED,6/25/2018
6_25,25,165,,NEED,6/25/2018
6_25,26,181,,NEED,6/25/2018
6_25,27,164,,NEED,6/25/2018
6_25,28,174,,NEED,6/25/2018
6_25,29,176.5,,NEED,6/25/2018
6_25,30,188,,NEED,6/25/2018
6_25,31,186,,NEED,6/25/2018
6_25,32,119,,NEED,6/25/2018
6_25,33,184.5,,NEED,6/25/2018
6_25,34,173,,NEED,6/25/2018
6_25,35,175,,NEED,6/25/2018
6_25,36,185,,NEED,6/25/2018
6_25,37,190,,NEED,6/25/2018
6_25,38,174.5,,NEED,6/25/2018
6_25,39,179.5,,NEED,6/25/2018
6_25,40,184.5,,NEED,6/25/2018
6_25,41,191.5,,NEED,6/25/2018
6_25,42,158.5,,NEED,6/25/2018
6_25,43,185.5,,NEED,6/25/2018
6_25,44,181.5,,NEED,6/25/2018
6_25,45,188.5,,NEED,6/25/2018
6_25,46,204.5,,NEED,6/25/2018
6_25,47,177,,NEED,6/25/2018
6_25,48,199.5,,NEED,6/25/2018
6_25,49,197,,NEED,6/25/2018
6_25,50,206.5,,NEED,6/25/2018
6_25,51,192.5,,NEED,6/25/2018
6_25,52,178.5,,NEED,6/25/2018
6_25,53,196,,NEED,6/25/2018
6_25,54,148,,NEED,6/25/2018
6_25,55,194.5,,NEED,6/25/2018
6_25,56,197,,NEED,6/25/2018
6_25,57,206,,NEED,6/25/2018
6_25,58,185,,NEED,6/25/2018
6_25,59,196.5,,NEED,6/25/2018
6_25,60,193.5,,NEED,6/25/2018
6_25,61,206,,NEED,6/25/2018
6_25,62,197,15 ml added,NEED,6/25/2018
6_25,63,206.5,,NEED,6/25/2018
6_25,64,184,,NEED,6/25/2018
6_25,65,191.5,,NEED,6/25/2018
6_25,66,171.5,,NEED,6/25/2018
6_25,67,184.5,,NEED,6/25/2018
6_25,68,188.5,,NEED,6/25/2018
6_25,69,181,,NEED,6/25/2018
6_25,70,190,,NEED,6/25/2018
6_25,71,199,,NEED,6/25/2018
6_25,72,180.5,,NEED,6/25/2018
6_25,73,187,,NEED,6/25/2018
6_25,74,188.5,,NEED,6/25/2018
6_25,75,188,,NEED,6/25/2018
6_25,76,219,15 ml added,NEED,6/25/2018
6_25,77,197.5,15 ml added,NEED,6/25/2018
6_25,78,179.5,,NEED,6/25/2018
6_25,79,193.5,,NEED,6/25/2018
6_25,80,178,,NEED,6/25/2018
6_25,81,186.5,,NEED,6/25/2018
6_25,82,186.5,,NEED,6/25/2018
6_25,83,184,,NEED,6/25/2018
6_25,84,180.5,,NEED,6/25/2018
6_25,85,188,,NEED,6/25/2018
6_25,86,191.5,,NEED,6/25/2018
6_25,87,185.5,,NEED,6/25/2018
6_25,88,154.5,,NEED,6/25/2018
6_25,89,188,,NEED,6/25/2018
6_25,90,215.5,,NEED,6/25/2018
6_25,91,153,,NEED,6/25/2018
6_25,92,164.5,,NEED,6/25/2018
6_25,93,165.5,,NEED,6/25/2018
6_25,94,156,,NEED,6/25/2018
6_25,95,158.5,,NEED,6/25/2018
6_25,96,179,,NEED,6/25/2018
6_25,97,171.5,,NEED,6/25/2018
6_25,98,181.5,,NEED,6/25/2018
6_25,99,160.5,,NEED,6/25/2018
6_25,100,174.5,,NEED,6/25/2018
6_25,101,186,,NEED,6/25/2018
6_25,102,182.5,,NEED,6/25/2018
6_25,103,150,,NEED,6/25/2018
