sampleID,ug_N_NO3_g_dry_soil,ug_N_NH4_g_dry_soil,NO3ppm,NH4ppm,extraction_vol,Unfumigated_soil_g,Tin_wt_g,Wetsoil_wt_g,Drysoil_tin_wt_g,Notes,percent_soil_moisture_dry_weight,percent_soil_moisture_fresh_weight,ratio_dry_soil_to_fresh_soil,massMoist,soil_status,root_association,block,precip,life_stage
FB1,9.457969964,3.241495985,1.225083275,0.419868379,30,5.956,1.336,4.999,4.5975,,53.27303388,34.75695139,0.652430486,5.956,L,B,1,INT,INT
FB2,7.809538948,3.287180378,1.354470644,0.570121918,30,5.9706,1.333,4.993,5.6842,,14.74995404,12.85399559,0.871460044,5.9706,L,B,2,INT,INT
FB3,6.790845432,2.810021245,1.210706901,0.500985061,30,6.0108,1.3086,5.002,5.7595,,12.38176549,11.01759296,0.88982407,6.0108,L,B,3,INT,INT
FB4,9.620853367,7.790589694,1.699503626,1.376191376,30,5.999,1.082,4.99,5.4901,,13.20069871,11.66132265,0.883386774,5.999,L,B,4,INT,INT
FB5,9.179405763,3.85668262,1.598869006,0.671757025,30,6.006,1.3456,4.995,5.6914,,14.93856137,12.996997,0.87003003,6.006,L,B,5,INT,INT
FR1,8.244359329,5.236565741,1.440728889,0.915107074,30,5.969,1.0878,5.001,5.4802,accidentally didn't flush filter before extract ,13.85575084,12.16956609,0.878304339,5.969,L,R,1,INT,INT
FR2,5.201019917,3.453494512,0.908803041,0.60344824,30,5.9507,1.341,5.0267,5.7691,,13.51821323,11.9084091,0.880915909,5.9507,L,R,2,INT,INT
FR3,8.561982568,4.122435256,1.483858012,0.714450016,30,5.9933,1.324,5.0584,5.7122,,15.27277699,13.24924877,0.867507512,5.9933,L,R,3,INT,INT
FR4,8.748603499,4.641875241,1.555739883,0.825451793,30,6.0224,1.326,5.0547,5.8036,,12.88860104,11.41709696,0.88582903,6.0224,L,R,4,INT,INT
FR5,6.522500736,2.732672474,1.124448655,0.471099968,30,5.9531,1.3171,4.998,5.6592,,15.10559407,13.1232493,0.868767507,5.9531,L,R,5,INT,INT
FS1,5.702277953,20.93999455,1.095695907,4.023631698,30,5.9819,1.3097,5.033,6.1598,,3.771056267,3.634015498,0.963659845,5.9819,S,B,1,INT,INT
FS2,5.556177571,25.81890417,0.966308538,4.490322208,30,5.4738,1.3098,5.01,6.0852,,4.912677472,4.682634731,0.953173653,5.4738,S,B,2,INT,INT
FS3,7.841640341,27.49795556,1.541363509,5.405035609,30,5.99,1.33,4.996,6.2483,,1.579814163,1.555244195,0.984447558,5.99,S,B,3,INT,INT
FS4,10.43755204,40.3907368,1.526987135,5.909061361,30,6.0017,1.299,5,4.9554,,36.74652664,26.872,0.73128,6.0017,S,B,4,INT,INT
FS5,7.98635009,25.66078575,1.124448655,3.612944048,30,6.0111,1.354,4.997,4.8653,,42.31196423,29.7318391,0.702681609,6.0111,S,B,5,INT,INT
