Plant_Number,date,Rdate,exp_days,num_germinates,volunteer_dicot,num_removed
1,6_16,6/16/2018,4,0,0,0
2,6_16,6/16/2018,4,1,0,0
3,6_16,6/16/2018,4,0,0,0
4,6_16,6/16/2018,4,0,0,0
5,6_16,6/16/2018,4,0,0,0
6,6_16,6/16/2018,4,2,0,0
7,6_16,6/16/2018,4,0,0,0
8,6_16,6/16/2018,4,0,0,0
9,6_16,6/16/2018,4,0,0,0
10,6_16,6/16/2018,4,0,0,0
11,6_16,6/16/2018,4,1,0,0
12,6_16,6/16/2018,4,1,0,0
13,6_16,6/16/2018,4,0,0,0
14,6_16,6/16/2018,4,0,0,0
15,6_16,6/16/2018,4,0,0,0
16,6_16,6/16/2018,4,0,0,0
17,6_16,6/16/2018,4,0,0,0
18,6_16,6/16/2018,4,1,0,0
19,6_16,6/16/2018,4,0,0,0
20,6_16,6/16/2018,4,0,0,0
21,6_16,6/16/2018,4,0,0,0
22,6_16,6/16/2018,4,1,0,0
23,6_16,6/16/2018,4,0,0,0
24,6_16,6/16/2018,4,0,0,0
25,6_16,6/16/2018,4,1,0,0
26,6_16,6/16/2018,4,1,0,0
27,6_16,6/16/2018,4,0,0,0
28,6_16,6/16/2018,4,0,0,0
29,6_16,6/16/2018,4,0,0,0
30,6_16,6/16/2018,4,0,0,0
31,6_16,6/16/2018,4,0,0,0
32,6_16,6/16/2018,4,0,0,0
33,6_16,6/16/2018,4,0,0,0
34,6_16,6/16/2018,4,0,0,0
35,6_16,6/16/2018,4,0,0,0
36,6_16,6/16/2018,4,0,0,0
37,6_16,6/16/2018,4,0,0,0
38,6_16,6/16/2018,4,0,0,0
39,6_16,6/16/2018,4,1,0,0
40,6_16,6/16/2018,4,0,0,0
41,6_16,6/16/2018,4,0,0,0
42,6_16,6/16/2018,4,0,0,0
43,6_16,6/16/2018,4,0,0,0
44,6_16,6/16/2018,4,1,0,0
45,6_16,6/16/2018,4,0,0,0
46,6_16,6/16/2018,4,0,0,0
47,6_16,6/16/2018,4,0,0,0
48,6_16,6/16/2018,4,0,0,0
49,6_16,6/16/2018,4,1,0,0
50,6_16,6/16/2018,4,0,0,0
51,6_16,6/16/2018,4,0,0,0
52,6_16,6/16/2018,4,0,0,0
53,6_16,6/16/2018,4,0,0,0
54,6_16,6/16/2018,4,0,0,0
55,6_16,6/16/2018,4,1,0,0
56,6_16,6/16/2018,4,0,0,0
57,6_16,6/16/2018,4,1,0,0
58,6_16,6/16/2018,4,1,0,0
59,6_16,6/16/2018,4,1,0,0
60,6_16,6/16/2018,4,0,0,0
61,6_16,6/16/2018,4,0,0,0
62,6_16,6/16/2018,4,0,0,0
63,6_16,6/16/2018,4,0,0,0
64,6_16,6/16/2018,4,0,0,0
65,6_16,6/16/2018,4,0,0,0
66,6_16,6/16/2018,4,0,0,0
67,6_16,6/16/2018,4,0,0,0
68,6_16,6/16/2018,4,2,0,0
69,6_16,6/16/2018,4,1,0,0
70,6_16,6/16/2018,4,0,0,0
71,6_16,6/16/2018,4,0,0,0
72,6_16,6/16/2018,4,1,0,0
73,6_16,6/16/2018,4,0,0,0
74,6_16,6/16/2018,4,0,0,0
75,6_16,6/16/2018,4,0,0,0
76,6_16,6/16/2018,4,0,0,0
77,6_16,6/16/2018,4,0,0,0
78,6_16,6/16/2018,4,0,0,0
