Plant_Number,date,Rdate,survival,Transplant_height_cm,Transplant_leaf,volunteer_dicot,volunteer_grass,,,,,,
91,6_16,2018-06-16,1,NA,NA,0,0,,,,,,
92,6_16,2018-06-16,1,NA,NA,0,0,,,,,,
93,6_16,2018-06-16,1,NA,NA,0,0,,,,,,
94,6_16,2018-06-16,1,NA,NA,0,0,,,,,,
95,6_16,2018-06-16,1,NA,NA,0,0,,,,,,
96,6_16,2018-06-16,1,NA,NA,0,0,,,,,,
97,6_16,2018-06-16,0,8.3,1,0,0,,,,,,
98,6_16,2018-06-16,1,NA,NA,0,0,,,,,,
99,6_16,2018-06-16,1,NA,NA,0,0,,,,,,
100,6_16,2018-06-16,1,NA,NA,0,0,,,,,,
101,6_16,2018-06-16,1,NA,NA,0,0,,,,,,
102,6_16,2018-06-16,1,NA,NA,0,0,,,,,,
103,6_16,2018-06-16,1,NA,NA,0,0,,,,,,
104,6_16,2018-06-16,1,NA,NA,0,0,,,,,,
105,6_16,2018-06-16,1,NA,NA,0,0,,,,,,
106,6_16,2018-06-16,1,NA,NA,0,0,,,,,,
107,6_16,2018-06-16,1,NA,NA,0,0,,,,,,
108,6_16,2018-06-16,1,NA,NA,0,0,,,,,,
109,6_16,2018-06-16,1,NA,NA,0,0,,,,,,
110,6_16,2018-06-16,1,NA,NA,0,0,,,,,,
111,6_16,2018-06-16,1,NA,NA,0,0,,,,,,
112,6_16,2018-06-16,1,NA,NA,0,0,,,,,,
113,6_16,2018-06-16,1,NA,NA,0,0,,,,,,
114,6_16,2018-06-16,1,NA,NA,0,0,,,,,,
115,6_16,2018-06-16,1,NA,NA,0,0,,,,,,
116,6_16,2018-06-16,1,NA,NA,0,0,,,,,,
117,6_16,2018-06-16,1,NA,NA,0,0,,,,,,
118,6_16,2018-06-16,1,NA,NA,0,0,,,,,,
119,6_16,2018-06-16,1,NA,NA,0,0,,,,,,
120,6_16,2018-06-16,1,NA,NA,0,0,,,,,,
121,6_16,2018-06-16,1,NA,NA,0,0,,,,,,
122,6_16,2018-06-16,1,NA,NA,0,0,,,,,,
123,6_16,2018-06-16,0,6,1,0,0,,,,,,
124,6_16,2018-06-16,1,NA,NA,0,0,,,,,,
125,6_16,2018-06-16,1,NA,NA,0,0,,,,,,
126,6_16,2018-06-16,1,NA,NA,0,0,,,,,,
127,6_16,2018-06-16,1,NA,NA,0,0,,,,,,
128,6_16,2018-06-16,1,NA,NA,0,0,,,,,,
129,6_16,2018-06-16,1,NA,NA,0,0,,,,,,
