Plant_Number,raw_label,soil_status,root_association,block,precip,life_stage,trt
1,1-LR1aD,L,R,1,D,S,LR1aD
2,2-LR1bD,L,R,1,D,S,LR1bD
3,3-LR1cD,L,R,1,D,S,LR1cD
4,4-LR2aD,L,R,2,D,S,LR2aD
5,5-LR2bD,L,R,2,D,S,LR2bD
6,6-LR2cD,L,R,2,D,S,LR2cD
7,7-LR3aD,L,R,3,D,S,LR3aD
8,8-LR3bD,L,R,3,D,S,LR3bD
9,9-LR3cD,L,R,3,D,S,LR3cD
10,10-LR4aD,L,R,4,D,S,LR4aD
11,11-LR4bD,L,R,4,D,S,LR4bD
12,12-LR4cD,L,R,4,D,S,LR4cD
13,13-LR5aD,L,R,5,D,S,LR5aD
14,14-LR5bD,L,R,5,D,S,LR5bD
15,15-LR5cD,L,R,5,D,S,LR5cD
16,16-LB1aD,L,B,1,D,S,LB1aD
17,17-LB1bD,L,B,1,D,S,LB1bD
18,18-LB1cD,L,B,1,D,S,LB1cD
19,19-LB2aD,L,B,2,D,S,LB2aD
20,20-LB2bD,L,B,2,D,S,LB2bD
21,21-LB2cD,L,B,2,D,S,LB2cD
22,22-LB3aD,L,B,3,D,S,LB3aD
23,23-LB3bD,L,B,3,D,S,LB3bD
24,24-LB3cD,L,B,3,D,S,LB3cD
25,25-LB4aD,L,B,4,D,S,LB4aD
26,26-LB4bD,L,B,4,D,S,LB4bD
27,27-LB4cD,L,B,4,D,S,LB4cD
28,28-LB5aD,L,B,5,D,S,LB5aD
29,29-LB5bD,L,B,5,D,S,LB5bD
30,30-LB5cD,L,B,5,D,S,LB5cD
31,31-SB1aD,S,B,1,D,S,SB1aD
32,32-SB1bD,S,B,1,D,S,SB1bD
33,33-SB1cD,S,B,1,D,S,SB1cD
34,34-SB2aD,S,B,2,D,S,SB2aD
35,35-SB2bD,S,B,2,D,S,SB2bD
36,36-SB2cD,S,B,2,D,S,SB2cD
37,37-SB3aD,S,B,3,D,S,SB3aD
38,38-SB3bD,S,B,3,D,S,SB3bD
39,39-SB3cD,S,B,3,D,S,SB3cD
40,40-SB4aD,S,B,4,D,S,SB4aD
41,41-SB4bD,S,B,4,D,S,SB4bD
42,42-SB4cD,S,B,4,D,S,SB4cD
43,43-SB5aD,S,B,5,D,S,SB5aD
44,44-SB5bD,S,B,5,D,S,SB5bD
45,45-SB5cD,S,B,5,D,S,SB5cD
46,46-LR1aA,L,R,1,A,S,LR1aA
47,47-LR1bA,L,R,1,A,S,LR1bA
48,48-LR1cA,L,R,1,A,S,LR1cA
49,49-LR2aA,L,R,2,A,S,LR2aA
50,50-LR2bA,L,R,2,A,S,LR2bA
51,51-LR2cA,L,R,2,A,S,LR2cA
52,52-LR3aA,L,R,3,A,S,LR3aA
53,53-LR3bA,L,R,3,A,S,LR3bA
54,54-LR3cA,L,R,3,A,S,LR3cA
55,55-LR4aA,L,R,4,A,S,LR4aA
56,56-LR4bA,L,R,4,A,S,LR4bA
57,57-LR4cA,L,R,4,A,S,LR4cA
58,58-LR5aA,L,R,5,A,S,LR5aA
59,59-LR5bA,L,R,5,A,S,LR5bA
60,60-LR5cA,L,R,5,A,S,LR5cA
61,61-LB1aA,L,B,1,A,S,LB1aA
62,62-LB1bA,L,B,1,A,S,LB1bA
63,63-LB1cA,L,B,1,A,S,LB1cA
64,64-LB2aA,L,B,2,A,S,LB2aA
65,65-LB2bA,L,B,2,A,S,LB2bA
66,66-LB2cA,L,B,2,A,S,LB2cA
67,67-LB3aA,L,B,3,A,S,LB3aA
68,68-LB3bA,L,B,3,A,S,LB3bA
69,69-LB3cA,L,B,3,A,S,LB3cA
70,70-LB4aA,L,B,4,A,S,LB4aA
71,71-LB4bA,L,B,4,A,S,LB4bA
72,72-LB4cA,L,B,4,A,S,LB4cA
73,73-LB5aA,L,B,5,A,S,LB5aA
74,74-LB5bA,L,B,5,A,S,LB5bA
75,75-LB5cA,L,B,5,A,S,LB5cA
76,76-SB1aA,S,B,1,A,S,SB1aA
77,77-SB1bA,S,B,1,A,S,SB1bA
78,78-SB1cA,S,B,1,A,S,SB1cA
79,79-SB2aA,S,B,2,A,S,SB2aA
80,80-SB2bA,S,B,2,A,S,SB2bA
81,81-SB2cA,S,B,2,A,S,SB2cA
82,82-SB3aA,S,B,3,A,S,SB3aA
83,83-SB3bA,S,B,3,A,S,SB3bA
84,84-SB3cA,S,B,3,A,S,SB3cA
85,85-SB4aA,S,B,4,A,S,SB4aA
86,86-SB4bA,S,B,4,A,S,SB4bA
87,87-SB4cA,S,B,4,A,S,SB4cA
88,88-SB5aA,S,B,5,A,S,SB5aA
89,89-SB5bA,S,B,5,A,S,SB5bA
