"","precip","block","soil_root","root_association","soil_status","life_stage"
"MERDSSG100","D",4,"L.R","R","L","G"
"MERDSSG103","D",5,"L.R","R","L","G"
"MERDSSG109","D",2,"L.B","B","L","G"
"MERDSSG10","D",4,"L.R","R","L","S"
"MERDSSG112","D",3,"L.B","B","L","G"
"MERDSSG115","D",4,"L.B","B","L","G"
"MERDSSG118","D",5,"L.B","B","L","G"
"MERDSSG139","A",2,"L.R","R","L","G"
"MERDSSG142","A",3,"L.R","R","L","G"
"MERDSSG145","A",4,"L.R","R","L","G"
"MERDSSG148","A",5,"L.R","R","L","G"
"MERDSSG14","D",5,"L.R","R","L","S"
"MERDSSG154","A",2,"L.B","B","L","G"
"MERDSSG157","A",3,"L.B","B","L","G"
"MERDSSG160","A",4,"L.B","B","L","G"
"MERDSSG163","A",5,"L.B","B","L","G"
"MERDSSG20","D",2,"L.B","B","L","S"
"MERDSSG23","D",3,"L.B","B","L","S"
"MERDSSG25","D",4,"L.B","B","L","S"
"MERDSSG30","D",5,"L.B","B","L","S"
"MERDSSG49","A",2,"L.R","R","L","S"
"MERDSSG4","D",2,"L.R","R","L","S"
"MERDSSG52","A",3,"L.R","R","L","S"
"MERDSSG55","A",4,"L.R","R","L","S"
"MERDSSG58","A",5,"L.R","R","L","S"
"MERDSSG64","A",2,"L.B","B","L","S"
"MERDSSG67","A",3,"L.B","B","L","S"
"MERDSSG6","D",2,"L.R","R","L","S"
"MERDSSG72","A",4,"L.B","B","L","S"
"MERDSSG73","A",5,"L.B","B","L","S"
"MERDSSG94","D",2,"L.R","R","L","G"
"MERDSSG97","D",3,"L.R","R","L","G"
