"","OTU","average","av_Trans","av_Seed","pval","Domain","Phylum","Class","Order","Family","Genus","Species","FDR_adj"
"2","OTU10",0.0145785714285714,43,334.571428571429,0.001,"k:Bacteria","p:Actinobacteria","c:Actinobacteria","o:Micrococcales","f:Micrococcaceae","g:Arthrobacter","UNKNOWN",0.103333333333333
"7","OTU10230",0.00051875,5.625,14.7142857142857,0.021,"k:Bacteria","p:Proteobacteria","c:Alphaproteobacteria","o:Rhizobiales","UNKNOWN","UNKNOWN","UNKNOWN",0.53475
"26","OTU1063",0.00270625,1.375,54.1428571428571,0.04,"k:Bacteria","p:Actinobacteria","c:Actinobacteria","o:Propionibacteriales","f:Nocardioidaceae","g:Nocardioides","UNKNOWN",0.676363636363636
"37","OTU11",0.0677901785714286,419.375,1619.57142857143,0.034,"k:Bacteria","p:Proteobacteria","c:Betaproteobacteria","o:Burkholderiales","f:Oxalobacteraceae","g:Massilia","UNKNOWN",0.608076923076923
"74","OTU11899",0.00367857142857143,3,76.5714285714286,0.001,"k:Bacteria","p:Proteobacteria","c:Betaproteobacteria","o:Burkholderiales","f:Comamonadaceae","UNKNOWN","UNKNOWN",0.103333333333333
"75","OTU12",0.0576410714285714,1257.25,104.428571428571,0.002,"k:Bacteria","p:Proteobacteria","c:Betaproteobacteria","o:Burkholderiales","f:Burkholderiaceae","g:Cupriavidus","UNKNOWN",0.143076923076923
"105","OTU1277",0.00155892857142857,0.75,31.2857142857143,0.027,"k:Bacteria","p:Actinobacteria","c:Actinobacteria","o:Propionibacteriales","f:Nocardioidaceae","g:Nocardioides","UNKNOWN",0.554042553191489
"107","OTU1286",0.00105,21,0,0.033,"k:Bacteria","p:Proteobacteria","c:Deltaproteobacteria","o:Bdellovibrionales","f:Bdellovibrionaceae","g:Bdellovibrio","UNKNOWN",0.601764705882353
"109","OTU12862",0.00289821428571429,15.75,46.7142857142857,0.037,"k:Bacteria","p:Proteobacteria","c:Alphaproteobacteria","o:Sphingomonadales","f:Sphingomonadaceae","g:Novosphingobium","UNKNOWN",0.637222222222222
"117","OTU131",0.00379375,75.875,0,0.002,"k:Bacteria","p:Bacteroidetes","c:Sphingobacteriia","o:Sphingobacteriales","f:Chitinophagaceae","g:Flavihumibacter","UNKNOWN",0.143076923076923
"145","OTU1367",0.000950892857142857,20.125,1.14285714285714,0.001,"k:Bacteria","p:Bacteroidetes","c:Cytophagia","o:Cytophagales","f:Cytophagaceae","g:Fibrisoma","UNKNOWN",0.103333333333333
"171","OTU1436",0.00258571428571429,0,51.7142857142857,0.001,"k:Bacteria","p:Firmicutes","c:Clostridia","o:Clostridiales","f:Family_XVIII","g:Symbiobacterium","UNKNOWN",0.103333333333333
"180","OTU14901",5e-05,0,1,0.03,"k:Bacteria","p:Bacteroidetes","c:Cytophagia","o:Cytophagales","f:Cytophagaceae","g:Spirosoma","UNKNOWN",0.569387755102041
"182","OTU14970",0.00119375,1.125,24.5714285714286,0.002,"k:Bacteria","p:Firmicutes","c:Bacilli","o:Bacillales","UNKNOWN","UNKNOWN","UNKNOWN",0.143076923076923
"189","OTU1519",0.00090625,4.125,21.4285714285714,0.007,"k:Bacteria","p:Firmicutes","c:Bacilli","o:Bacillales","f:Paenibacillaceae","g:Cohnella","UNKNOWN",0.28304347826087
"195","OTU15550",0.00139464285714286,28.5,0.857142857142857,0.008,"k:Bacteria","p:Proteobacteria","c:Alphaproteobacteria","o:Rhizobiales","UNKNOWN","UNKNOWN","UNKNOWN",0.31
"205","OTU1577",0.00128660714285714,0.125,25.8571428571429,0.001,"k:Bacteria","p:Firmicutes","c:Bacilli","o:Bacillales","f:Paenibacillaceae","g:Paenibacillus","UNKNOWN",0.103333333333333
"209","OTU15944",0.000651785714285714,13.75,2.85714285714286,0.044,"k:Bacteria","p:Proteobacteria","c:Alphaproteobacteria","o:Rhizobiales","UNKNOWN","UNKNOWN","UNKNOWN",0.717894736842105
"217","OTU16209",0.00373392857142857,1.75,76.1428571428571,0.001,"k:Bacteria","p:Firmicutes","c:Bacilli","o:Bacillales","f:Bacillaceae","UNKNOWN","UNKNOWN",0.103333333333333
"221","OTU16239",0.000903571428571429,18.5,0.428571428571429,0.001,"k:Bacteria","p:Proteobacteria","c:Betaproteobacteria","o:Burkholderiales","f:Comamonadaceae","UNKNOWN","UNKNOWN",0.103333333333333
