"","OTU","average","av_Drought","av_Ambient","pval","Domain","Phylum","Class","Order","Family","Genus","Species","FDR_adj"
"10","OTU1034",0.00146428571428571,29.2857142857143,0,0.019,"k:Bacteria","p:Bacteroidetes","c:Sphingobacteriia","o:Sphingobacteriales","f:Sphingobacteriaceae","g:Mucilaginibacter","s:Mucilaginibacter_sp._HME9299",0.991318681318681
"22","OTU106",0.01325625,325,59.875,0.001,"k:Bacteria","p:Proteobacteria","c:Alphaproteobacteria","o:Sphingomonadales","f:Sphingomonadaceae","g:Sphingomonas","UNKNOWN",0.2325
"26","OTU1063",0.00275,55.1428571428571,0.5,0.014,"k:Bacteria","p:Actinobacteria","c:Actinobacteria","o:Propionibacteriales","f:Nocardioidaceae","g:Nocardioides","UNKNOWN",0.991318681318681
"51","OTU1139",0.0022875,48.1428571428571,6.25,0.018,"k:Bacteria","p:Firmicutes","c:Bacilli","o:Bacillales","f:Paenibacillaceae","g:Paenibacillus","UNKNOWN",0.991318681318681
"95","OTU12432",1e-04,2,0,0.019,"k:Bacteria","p:Proteobacteria","c:Alphaproteobacteria","o:Sphingomonadales","f:Sphingomonadaceae","g:Sphingomonas","UNKNOWN",0.991318681318681
"97","OTU1249",0.00123303571428571,24.7142857142857,1.125,0.037,"k:Bacteria","p:Proteobacteria","c:Gammaproteobacteria","o:Pseudomonadales","f:Pseudomonadaceae","g:Pseudomonas","UNKNOWN",0.991318681318681
"105","OTU1277",0.00154642857142857,31,1,0.042,"k:Bacteria","p:Actinobacteria","c:Actinobacteria","o:Propionibacteriales","f:Nocardioidaceae","g:Nocardioides","UNKNOWN",0.991318681318681
"118","OTU13103",6.875e-05,0,1.375,0.029,"k:Bacteria","p:Proteobacteria","c:Alphaproteobacteria","o:Caulobacterales","f:Caulobacteraceae","UNKNOWN","UNKNOWN",0.991318681318681
"152","OTU139",0.00473660714285714,2.42857142857143,97.125,0.003,"k:Bacteria","p:Proteobacteria","c:Alphaproteobacteria","o:Sphingomonadales","f:Sphingomonadaceae","g:Novosphingobium","UNKNOWN",0.34875
"166","OTU14262",0.000184821428571429,3.85714285714286,0.625,0.02,"k:Bacteria","p:Proteobacteria","c:Alphaproteobacteria","o:Sphingomonadales","f:Sphingomonadaceae","g:Novosphingobium","UNKNOWN",0.991318681318681
"179","OTU148",0.00111875,2,24.375,0.01,"k:Bacteria","p:Proteobacteria","c:Alphaproteobacteria","o:Rhizobiales","f:Phyllobacteriaceae","g:Mesorhizobium","UNKNOWN",0.991318681318681
"218","OTU1621",0.000574107142857143,3.14285714285714,13.125,0.04,"k:Bacteria","p:Firmicutes","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",0.991318681318681
"219","OTU16213",0.00257410714285714,6.42857142857143,56.875,0.013,"k:Bacteria","p:Bacteroidetes","c:Sphingobacteriia","o:Sphingobacteriales","f:Chitinophagaceae","g:Flavitalea","UNKNOWN",0.991318681318681
"237","OTU1703",0.00148571428571429,29.7142857142857,0,0.023,"k:Bacteria","p:Firmicutes","c:Clostridia","o:Clostridiales","f:Family_XVIII","UNKNOWN","UNKNOWN",0.991318681318681
"270","OTU183",0.00250714285714286,59.5714285714286,100.75,0.039,"k:Bacteria","p:Proteobacteria","c:Alphaproteobacteria","o:Rhizobiales","f:Phyllobacteriaceae","g:Mesorhizobium","UNKNOWN",0.991318681318681
"311","OTU19670",7.5e-05,0,1.5,0.024,"k:Bacteria","p:Proteobacteria","c:Betaproteobacteria","o:Burkholderiales","f:Comamonadaceae","UNKNOWN","UNKNOWN",0.991318681318681
"350","OTU2056",0.00051875,0,10.375,0.002,"k:Bacteria","p:Proteobacteria","c:Alphaproteobacteria","o:Rhizobiales","f:Hyphomicrobiaceae","UNKNOWN","UNKNOWN",0.265714285714286
