"","OTU","average","av_Drought","av_Ambient","pval","Domain","Phylum","Class","Order","Family","Genus","Species","FDR_adj"
"2","OTU10",0.0015140625,61.375,33.25,0.008,"k:Bacteria","p:Actinobacteria","c:Actinobacteria","o:Micrococcales","f:Micrococcaceae","g:Arthrobacter","UNKNOWN",1
"3","OTU100",0.00084375,29.375,14.5,0.026,"k:Bacteria","p:Bacteroidetes","c:Sphingobacteriia","o:Sphingobacteriales","f:Chitinophagaceae","UNKNOWN","UNKNOWN",1
"52","OTU1027",0.0001234375,0.125,2.5,0.036,"k:Bacteria","p:Planctomycetes","c:Planctomycetacia","o:Planctomycetales","f:Planctomycetaceae","UNKNOWN","UNKNOWN",1
"187","OTU10853",0.0015015625,0.5,30.25,0.012,"k:Bacteria","p:Bacteroidetes","c:Sphingobacteriia","o:Sphingobacteriales","f:Chitinophagaceae","g:Lacibacter","UNKNOWN",1
"322","OTU1155",0.0008625,19.375,2.125,0.001,"k:Bacteria","p:Actinobacteria","c:Thermoleophilia","o:Solirubrobacterales","f:0319-6M6","UNKNOWN","UNKNOWN",0.8715
"418","OTU1206",0.000171875,3.5,0.125,0.01,"k:Bacteria","p:Firmicutes","c:Clostridia","o:Clostridiales","f:Clostridiaceae_1","g:Clostridium_sensu_stricto_13","UNKNOWN",1
"440","OTU122",0.000728125,4.375,16.625,0.043,"k:Bacteria","p:Proteobacteria","c:Alphaproteobacteria","o:Rhizobiales","f:Rhizobiaceae","UNKNOWN","UNKNOWN",1
"456","OTU12303",0.00140625,0.5,28.5,0.004,"k:Bacteria","p:Proteobacteria","c:Alphaproteobacteria","o:Sphingomonadales","f:Sphingomonadaceae","UNKNOWN","UNKNOWN",1
"592","OTU130",0.0002578125,1.375,6,0.011,"k:Bacteria","p:Proteobacteria","c:Alphaproteobacteria","o:Rhizobiales","f:KF-JG30-B3","UNKNOWN","UNKNOWN",1
"605","OTU1308",0.0001390625,3.25,0.75,0.026,"k:Bacteria","p:Actinobacteria","c:Thermoleophilia","o:Solirubrobacterales","f:YNPFFP1","UNKNOWN","UNKNOWN",1
"662","OTU134",0.00063125,3.625,15.875,0.001,"k:Bacteria","p:Bacteroidetes","c:Sphingobacteriia","o:Sphingobacteriales","f:Chitinophagaceae","g:Parafilimonas","UNKNOWN",0.8715
"683","OTU1354",0.001115625,1.75,23.125,0.042,"k:Bacteria","p:Proteobacteria","c:Gammaproteobacteria","o:Xanthomonadales","f:Xanthomonadaceae","UNKNOWN","UNKNOWN",1
"736","OTU1381",0.000165625,1,3.75,0.045,"k:Bacteria","p:Actinobacteria","c:Actinobacteria","o:Micrococcales","f:Microbacteriaceae","UNKNOWN","UNKNOWN",1
