"","OTU","av_Rhizosphere","av_Bulk","pval","tax","Domain","Phylum","Class","Order","Family","Genus","Species","FDR_adj"
"7",0.003846875,215.5,145.375,0.009,"OTU1","k:Bacteria","p:Proteobacteria","c:Alphaproteobacteria","o:Rhizobiales","f:Bradyrhizobiaceae","g:Bradyrhizobium","UNKNOWN",1
"21",0.001390625,68.125,41.75,0.004,"OTU25","k:Bacteria","p:Acidobacteria","c:Acidobacteria","o:Subgroup_6","UNKNOWN","UNKNOWN","UNKNOWN",1
"35",0.00041875,14.625,6.625,0.007,"OTU229","k:Bacteria","p:Proteobacteria","c:Deltaproteobacteria","o:GR-WP33-30","UNKNOWN","UNKNOWN","UNKNOWN",1
"64",0.000315625,7.875,2.75,0.04,"OTU3230","k:Bacteria","p:Proteobacteria","c:Gammaproteobacteria","o:Xanthomonadales","f:Xanthomonadales_Incertae_Sedis","g:Acidibacter","UNKNOWN",1
"78",6.25e-05,1.25,0,0.03,"OTU15700","k:Bacteria","p:Acidobacteria","c:Acidobacteria","o:Subgroup_2","UNKNOWN","UNKNOWN","UNKNOWN",1
"80",0.000990625,39.75,21.375,0.007,"OTU97","k:Bacteria","p:Acidobacteria","c:Acidobacteria","o:Subgroup_6","UNKNOWN","UNKNOWN","UNKNOWN",1
"81",0.0051546875,35.75,122.5,0.046,"OTU139","k:Bacteria","p:Proteobacteria","c:Alphaproteobacteria","o:Sphingomonadales","f:Sphingomonadaceae","g:Novosphingobium","UNKNOWN",1
"91",0.0004734375,16.625,9,0.039,"OTU82","k:Bacteria","p:Bacteroidetes","c:Sphingobacteriia","o:Sphingobacteriales","f:Chitinophagaceae","g:Terrimonas","UNKNOWN",1
"117",0.0002203125,5.625,1.625,0.014,"OTU85","k:Bacteria","p:Proteobacteria","c:Betaproteobacteria","o:SC-I-84","UNKNOWN","UNKNOWN","UNKNOWN",1
"131",0.0002640625,6,1.75,0.041,"OTU596","k:Bacteria","p:Proteobacteria","c:Deltaproteobacteria","o:Myxococcales","f:Polyangiaceae","g:Byssovorax","UNKNOWN",1
"145",0.00025,6.625,1.875,0.009,"OTU199","k:Bacteria","p:Acidobacteria","c:Acidobacteria","o:Subgroup_17","UNKNOWN","UNKNOWN","UNKNOWN",1
"149",0.00018125,3.625,0,0.033,"OTU259","k:Bacteria","p:Bacteroidetes","c:Cytophagia","o:Cytophagales","f:Cytophagaceae","UNKNOWN","UNKNOWN",1
"151",0.0002046875,5.375,5,0.044,"OTU104","k:Bacteria","p:Nitrospirae","c:Nitrospira","o:Nitrospirales","f:Nitrospiraceae","g:Nitrospira","UNKNOWN",1
"171",0.0001828125,3.875,0.5,0.019,"OTU300","k:Bacteria","p:Planctomycetes","c:Planctomycetacia","o:Planctomycetales","f:Planctomycetaceae","g:Planctomyces","UNKNOWN",1
"180",0.0025171875,95.25,45,0.002,"OTU32","k:Bacteria","p:Actinobacteria","c:Actinobacteria","o:Corynebacteriales","f:Mycobacteriaceae","g:Mycobacterium","UNKNOWN",1
"201",0.0001171875,3,0.875,0.008,"OTU12731","k:Bacteria","p:Actinobacteria","c:Thermoleophilia","o:Gaiellales","UNKNOWN","UNKNOWN","UNKNOWN",1
"217",0.0001609375,3.25,0.125,0.016,"OTU2245","k:Bacteria","p:Firmicutes","c:Bacilli","o:Bacillales","f:Paenibacillaceae","g:Paenibacillus","UNKNOWN",1
"225",0.000184375,4.125,0.875,0.02,"OTU650","k:Bacteria","p:Proteobacteria","c:Betaproteobacteria","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",1
"237",9.84375e-05,2,0.125,0.029,"OTU953","k:Bacteria","p:Bacteroidetes","c:Sphingobacteriia","o:Sphingobacteriales","f:AKYH767","UNKNOWN","UNKNOWN",1
"254",0.000559375,16.125,7.625,0.042,"OTU840","k:Bacteria","p:Acidobacteria","c:Acidobacteria","o:Subgroup_6","UNKNOWN","UNKNOWN","UNKNOWN",1
"276",0.00103125,50.5,30.25,0.002,"OTU29","k:Bacteria","p:Proteobacteria","c:Alphaproteobacteria","o:Rhizobiales","f:Rhodobiaceae","UNKNOWN","UNKNOWN",1
"286",0.00033125,8.75,3,0.017,"OTU102","k:Bacteria","p:Nitrospirae","c:Nitrospira","o:Nitrospirales","f:0319-6A21","UNKNOWN","UNKNOWN",1
"287",0.0003703125,10.375,3.875,0.027,"OTU30","k:Bacteria","p:Proteobacteria","c:Betaproteobacteria","o:Nitrosomonadales","f:Nitrosomonadaceae","UNKNOWN","UNKNOWN",1
"310",0.000196875,4.125,0.5,0.047,"OTU83","k:Bacteria","p:Bacteroidetes","c:Sphingobacteriia","o:Sphingobacteriales","f:AKYH767","UNKNOWN","UNKNOWN",1
"348",0.00105625,43,22.25,0.003,"OTU42","k:Bacteria","p:Proteobacteria","c:Alphaproteobacteria","o:Rhizobiales","f:Xanthobacteraceae","g:Variibacter","UNKNOWN",1
"355",0.0002953125,1.375,6.5,0.038,"OTU84","k:Bacteria","p:Proteobacteria","c:Alphaproteobacteria","o:Sphingomonadales","f:Sphingomonadaceae","g:Sphingomonas","UNKNOWN",1
"375",0.00100625,33.375,13.875,0.003,"OTU117","k:Bacteria","p:Proteobacteria","c:Deltaproteobacteria","o:GR-WP33-30","UNKNOWN","UNKNOWN","UNKNOWN",1
"376",8.4375e-05,1.75,0.125,0.017,"OTU11870","k:Bacteria","p:Bacteroidetes","c:Sphingobacteriia","o:Sphingobacteriales","f:Chitinophagaceae","g:Parafilimonas","UNKNOWN",1
"377",6.875e-05,1.375,0,0.026,"OTU1146","k:Bacteria","p:Planctomycetes","c:Planctomycetacia","o:Planctomycetales","f:Planctomycetaceae","UNKNOWN","UNKNOWN",1
"399",0.0005171875,15.5,6.625,0.02,"OTU179","k:Bacteria","p:Actinobacteria","c:Actinobacteria","o:Micromonosporales","f:Micromonosporaceae","UNKNOWN","UNKNOWN",1
"417",0.00031875,8.375,2.125,0.002,"OTU782","k:Bacteria","p:Proteobacteria","c:Alphaproteobacteria","o:Rhizobiales","f:Hyphomicrobiaceae","UNKNOWN","UNKNOWN",1
"431",0.00126875,42.75,22,0.031,"OTU50","k:Bacteria","p:Proteobacteria","c:Alphaproteobacteria","o:Rhizobiales","f:Hyphomicrobiaceae","g:Pedomicrobium","UNKNOWN",1
"457",0.0003578125,3,9.375,0.024,"OTU124","k:Bacteria","p:Proteobacteria","c:Alphaproteobacteria","o:Sphingomonadales","f:Sphingomonadaceae","UNKNOWN","UNKNOWN",1
"482",0.000321875,7.625,1.25,0.002,"OTU37","k:Bacteria","p:Acidobacteria","c:Acidobacteria","o:Acidobacteriales","f:Acidobacteriaceae_[Subgroup_1]","UNKNOWN","UNKNOWN",1
"486",0.00031875,7.375,1,0.002,"OTU2599","k:Bacteria","p:Proteobacteria","c:Alphaproteobacteria","o:Rhizobiales","UNKNOWN","UNKNOWN","UNKNOWN",1
"496",0.00053125,15.875,5.875,0.005,"OTU677","k:Bacteria","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",1
"500",0.002965625,113.125,55.875,0.005,"OTU52","k:Bacteria","p:Chloroflexi","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",1
"501",0.0004109375,11.875,3.75,0.004,"OTU878","k:Bacteria","p:Acidobacteria","c:Acidobacteria","o:Subgroup_4","f:RB41","UNKNOWN","UNKNOWN",1
"517",0.0003453125,9,2.25,0.004,"OTU194","k:Bacteria","p:Planctomycetes","c:Phycisphaerae","o:WD2101_soil_group","UNKNOWN","UNKNOWN","UNKNOWN",1
"526",0.001215625,1.375,25.25,0.003,"OTU224","k:Bacteria","p:Proteobacteria","c:Alphaproteobacteria","o:Sphingomonadales","f:Sphingomonadaceae","g:Novosphingobium","UNKNOWN",1
"572",0.000178125,4.625,1.375,0.021,"OTU12141","k:Bacteria","p:Proteobacteria","c:Alphaproteobacteria","o:Rhizobiales","f:Hyphomicrobiaceae","g:Hyphomicrobium","UNKNOWN",1
"585",0.000725,4.625,18,0.025,"OTU497","k:Bacteria","p:Proteobacteria","c:Deltaproteobacteria","o:Bdellovibrionales","f:Bacteriovoracaceae","g:Peredibacter","UNKNOWN",1
"599",0.0002671875,0.375,5.5,0.026,"OTU20948","k:Bacteria","p:Proteobacteria","c:Alphaproteobacteria","o:Caulobacterales","f:Caulobacteraceae","g:Brevundimonas","UNKNOWN",1
