"","OTU","average","av_Drought","av_Ambient","pval","Domain","Phylum","Class","Order","Family","Genus","Species","FDR_adj"
"1","OTU1",0.0035890625,207.5,145.625,0.028,"k:Bacteria","p:Proteobacteria","c:Alphaproteobacteria","o:Rhizobiales","f:Bradyrhizobiaceae","g:Bradyrhizobium","UNKNOWN",1
"47","OTU1023",0.0001265625,0.375,2.75,0.015,"k:Bacteria","p:Acidobacteria","c:Acidobacteria","o:Subgroup_6","UNKNOWN","UNKNOWN","UNKNOWN",1
"77","OTU1039",9.375e-05,0,1.875,0.016,"k:Bacteria","p:Armatimonadetes","c:Chthonomonadetes","o:Chthonomonadales","UNKNOWN","UNKNOWN","UNKNOWN",1
"104","OTU105",0.000453125,3.25,11.125,0.013,"k:Bacteria","p:Acidobacteria","c:Acidobacteria","o:Subgroup_2","UNKNOWN","UNKNOWN","UNKNOWN",1
"224","OTU1106",0.000971875,1.125,19.875,0.021,"k:Bacteria","p:Proteobacteria","c:Deltaproteobacteria","o:Bdellovibrionales","f:Bdellovibrionaceae","g:Bdellovibrio","UNKNOWN",1
"227","OTU1107",0.00011875,0,2.375,0.003,"k:Bacteria","p:Verrucomicrobia","c:Spartobacteria","o:Chthoniobacterales","f:Chthoniobacteraceae","g:Chthoniobacter","UNKNOWN",1
"325","OTU1155",0.0007671875,20.875,5.625,0.002,"k:Bacteria","p:Actinobacteria","c:Thermoleophilia","o:Solirubrobacterales","f:0319-6M6","UNKNOWN","UNKNOWN",0.999818181818182
"470","OTU12303",0.00071875,0,14.375,0.024,"k:Bacteria","p:Proteobacteria","c:Alphaproteobacteria","o:Sphingomonadales","f:Sphingomonadaceae","UNKNOWN","UNKNOWN",1
"505","OTU125",0.0003640625,2.625,8.625,0.037,"k:Bacteria","p:Proteobacteria","c:Alphaproteobacteria","o:Caulobacterales","f:Hyphomonadaceae","g:Woodsholea","UNKNOWN",1
"542","OTU1273",0.0001171875,0.625,2.625,0.004,"k:Bacteria","p:Proteobacteria","c:Alphaproteobacteria","o:Rhodospirillales","f:Rhodospirillaceae","UNKNOWN","UNKNOWN",1
"546","OTU12779",0.0001734375,0.125,3.5,0.033,"k:Bacteria","p:Bacteroidetes","c:Sphingobacteriia","o:Sphingobacteriales","f:AKYH767","UNKNOWN","UNKNOWN",1
"557","OTU1285",1e-04,0,2,0.005,"k:Bacteria","p:Nitrospirae","c:Nitrospira","o:Nitrospirales","f:4-29","UNKNOWN","UNKNOWN",1
"625","OTU13146",0.00030625,9.75,4.25,0.018,"k:Bacteria","p:Actinobacteria","c:Actinobacteria","o:Kineosporiales","f:Kineosporiaceae","UNKNOWN","UNKNOWN",1
"649","OTU133",0.0006640625,8.625,20.375,0.026,"k:Bacteria","p:Acidobacteria","c:Holophagae","o:Subgroup_7","UNKNOWN","UNKNOWN","UNKNOWN",1
"670","OTU134",0.000846875,6,22.75,0.003,"k:Bacteria","p:Bacteroidetes","c:Sphingobacteriia","o:Sphingobacteriales","f:Chitinophagaceae","g:Parafilimonas","UNKNOWN",1
"681","OTU13457",0.0001875,0,3.75,0.029,"k:Archaea","p:Euryarchaeota","c:Thermoplasmata","o:Thermoplasmatales","f:Marine_Group_II","UNKNOWN","UNKNOWN",1
"704","OTU13605",0.000109375,2.375,0.25,0.01,"k:Bacteria","p:Actinobacteria","c:Actinobacteria","o:Corynebacteriales","f:Mycobacteriaceae","UNKNOWN","UNKNOWN",1
"710","OTU13636",0.000546875,11.875,1.25,0.005,"k:Bacteria","p:Firmicutes","c:Bacilli","o:Bacillales","f:Alicyclobacillaceae","g:Tumebacillus","UNKNOWN",1
"774","OTU13937",0.0008828125,30.875,18.25,0.042,"k:Bacteria","p:Proteobacteria","c:Betaproteobacteria","o:Burkholderiales","f:Comamonadaceae","UNKNOWN","UNKNOWN",1
"807","OTU14068",8.125e-05,0,1.625,0.019,"k:Bacteria","p:Acidobacteria","c:Acidobacteria","o:Subgroup_6","UNKNOWN","UNKNOWN","UNKNOWN",1
"908","OTU1467",5.625e-05,0,1.125,0.021,"k:Bacteria","p:Planctomycetes","c:Planctomycetacia","o:Planctomycetales","f:Planctomycetaceae","UNKNOWN","UNKNOWN",1
"952","OTU14988",0.0005109375,12.375,2.625,0.007,"k:Bacteria","p:Proteobacteria","c:Alphaproteobacteria","o:Sphingomonadales","UNKNOWN","UNKNOWN","UNKNOWN",1
"988","OTU1519",9.53125e-05,2,0.25,0.005,"k:Bacteria","p:Firmicutes","c:Bacilli","o:Bacillales","f:Paenibacillaceae","g:Cohnella","UNKNOWN",1
"990","OTU1520",0.000125,2.5,0,0.025,"k:Bacteria","p:Actinobacteria","c:Acidimicrobiia","o:Acidimicrobiales","UNKNOWN","UNKNOWN","UNKNOWN",1
"1062","OTU1558",0.0001625,0.75,3.5,0.033,"k:Bacteria","p:Gemmatimonadetes","c:Gemmatimonadetes","o:Gemmatimonadales","f:Gemmatimonadaceae","UNKNOWN","UNKNOWN",1
"1070","OTU15601",0.000121875,2.875,0.625,0.024,"k:Bacteria","p:Gemmatimonadetes","c:Gemmatimonadetes","o:Gemmatimonadales","f:Gemmatimonadaceae","g:Gemmatimonas","UNKNOWN",1
"1082","OTU15633",0.0001421875,0.5,3,0.005,"k:Bacteria","p:Verrucomicrobia","c:OPB35_soil_group","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",1
"1245","OTU1655",7.8125e-05,0.25,1.625,0.031,"k:Bacteria","p:Proteobacteria","c:Deltaproteobacteria","o:Myxococcales","f:P3OB-42","UNKNOWN","UNKNOWN",1
"1274","OTU1671",0.0005921875,13.375,1.625,0.004,"k:Bacteria","p:Actinobacteria","c:Thermoleophilia","o:Solirubrobacterales","UNKNOWN","UNKNOWN","UNKNOWN",1
"1292","OTU16832",0.000125,0.25,2.625,0.01,"k:Bacteria","p:Bacteroidetes","c:Sphingobacteriia","o:Sphingobacteriales","f:Chitinophagaceae","g:Sediminibacterium","UNKNOWN",1
"1308","OTU1691",0.000240625,0.25,5,0.002,"k:Bacteria","p:Proteobacteria","c:Deltaproteobacteria","o:Sh765B-TzT-29","UNKNOWN","UNKNOWN","UNKNOWN",0.999818181818182
