"","MERDSSG100","MERDSSG103","MERDSSG109","MERDSSG10","MERDSSG112","MERDSSG115","MERDSSG118","MERDSSG124","MERDSSG127","MERDSSG130","MERDSSG133","MERDSSG139","MERDSSG142","MERDSSG145","MERDSSG148","MERDSSG14","MERDSSG154","MERDSSG157","MERDSSG160","MERDSSG163","MERDSSG169","MERDSSG172","MERDSSG175","MERDSSG178","MERDSSG20","MERDSSG23","MERDSSG25","MERDSSG30","MERDSSG37","MERDSSG39","MERDSSG44","MERDSSG49","MERDSSG4","MERDSSG52","MERDSSG55","MERDSSG58","MERDSSG64","MERDSSG67","MERDSSG6","MERDSSG72","MERDSSG73","MERDSSG79","MERDSSG84","MERDSSG85","MERDSSG89","MERDSSG94","MERDSSG97"
"MERDSSG100",0,0.133700317272958,0.123795531525961,0.175273290875535,0.130898335350655,0.158546484321175,0.137565025826332,0.352372376796505,0.356109984384827,0.36443925007256,0.355659323320776,0.182630173983382,0.187570338657225,0.177302258503251,0.172122889495542,0.121897871427506,0.17333600647039,0.197833791338569,0.182430163224728,0.176478483644577,0.319854102018779,0.323333415445918,0.331905406286894,0.370064308345379,0.11957585835427,0.188969102499072,0.225984170025016,0.10332854409466,0.305822018162672,0.338169788106849,0.357663506070365,0.135451836549295,0.142199044724332,0.172086634114874,0.140160108222106,0.174851175166599,0.15830347611285,0.199382877888552,0.134107580584495,0.236716699638702,0.196230285687941,0.350145420531986,0.341874682436108,0.294554586127638,0.390329425414509,0.190767047931319,0.185603628655153
"MERDSSG103",0.133700317272958,0,0.118406913009194,0.172763728039655,0.12699237146348,0.147728330497158,0.117079117946419,0.339393237841825,0.349710105363666,0.348336123698739,0.347085205455588,0.16682257722558,0.180659306472242,0.169452720668407,0.118713492682832,0.0971401436389495,0.169313229008657,0.187682739373609,0.149284937165096,0.135331664630605,0.32823214513533,0.323307716541084,0.340382894495752,0.354314845880856,0.137234575696944,0.18940314808684,0.209622617510473,0.0940975226308721,0.299747300785528,0.329571908595079,0.350473279754069,0.140891538514799,0.138243070256394,0.150696049038795,0.147722920116296,0.133285608379362,0.140770995301741,0.18440803337555,0.137139726023504,0.216234807285189,0.158760844284875,0.335521466135949,0.32371262819004,0.2908793541695,0.371452985056138,0.17984957296471,0.18468032630746
"MERDSSG109",0.123795531525961,0.118406913009194,0,0.191953276852283,0.11420329298181,0.168260558739717,0.1337634013414,0.292336035453149,0.296089951882794,0.299594436382392,0.297071186199557,0.176181680727059,0.174872081375212,0.124629428642829,0.136894518999171,0.126980087192668,0.146340134171418,0.137515263639222,0.144036175589413,0.141290748255478,0.275158688839997,0.267759386281423,0.295834942633303,0.308776581175584,0.108648665829996,0.171131445470342,0.205933468780582,0.0937589294634423,0.263223277280637,0.284165242048614,0.302546731843361,0.139266856780206,0.156145520806754,0.136646081036798,0.141794608067506,0.151930226835253,0.121824665345744,0.143098264847816,0.126233892013424,0.183325577413937,0.132486906573849,0.295583603046367,0.275880565723229,0.240388431480444,0.328427522469637,0.159508798830156,0.142054992239432
"MERDSSG10",0.175273290875535,0.172763728039655,0.191953276852283,0,0.208951906344688,0.0702344892556778,0.113155716045716,0.410237054404105,0.428304967951416,0.421711125952708,0.421290511320258,0.111173737939155,0.12242919366439,0.252738336978947,0.183995184111155,0.159505715460517,0.185716446439518,0.267636802087944,0.209938040511184,0.183495280026828,0.38183274268071,0.389154508134646,0.385020887396077,0.403660562885596,0.195742615698562,0.277359254492036,0.325782806384788,0.175696331185088,0.348028886175428,0.392390356201029,0.407259401279256,0.147130332432337,0.0886729296366278,0.172463300463058,0.144357000933818,0.17406050234139,0.169937669542485,0.269071588327281,0.181403926549095,0.314382118274858,0.242507598335527,0.385677958073122,0.390274954004055,0.352398773810221,0.443492288358188,0.277451823423137,0.281005335622144
"MERDSSG112",0.130898335350655,0.12699237146348,0.11420329298181,0.208951906344688,0,0.186891998184341,0.14408572092176,0.330312004163139,0.334050876748567,0.343823949763144,0.350137632286501,0.182136838412256,0.182960580739537,0.135789117741583,0.135376710312241,0.138281930109488,0.165813174299611,0.152991887023171,0.143801126286047,0.146261575707463,0.323232985396164,0.320218993059312,0.353449416254058,0.345897033817334,0.0816577937738632,0.130656658078176,0.160017083278933,0.111402789778008,0.311821993874662,0.319690665957215,0.334592343678885,0.162969095007404,0.165202575743224,0.159217840151135,0.148194913119674,0.161464167055044,0.141732249907402,0.156825045474415,0.125689898155217,0.201541659181403,0.154724548744983,0.326587219190989,0.315017418666702,0.295378808510685,0.353117314311271,0.119161042774775,0.128469628554134
"MERDSSG115",0.158546484321175,0.147728330497158,0.168260558739717,0.0702344892556778,0.186891998184341,0,0.0954990578851869,0.390610448476733,0.407674519761472,0.403595276774274,0.40197183399647,0.109395252767349,0.117144452452424,0.2354004570944,0.162235637639353,0.133839865267601,0.183118966779618,0.246774423833741,0.189355297117514,0.163991997150802,0.367063072617304,0.370802993849943,0.37198304537789,0.390461643222009,0.181561295380192,0.264840364394199,0.302842395135398,0.145755172957933,0.331328241525198,0.375986206849753,0.389639116735106,0.133876450430129,0.0841026183598893,0.156109044511626,0.127416647064739,0.151086633822253,0.161192940286101,0.247907946005707,0.174905005824033,0.293202226484542,0.219626430110422,0.372331089251019,0.374311141530684,0.332248663013091,0.422042212307072,0.254969775773963,0.256478381561173
"MERDSSG118",0.137565025826332,0.117079117946419,0.1337634013414,0.113155716045716,0.14408572092176,0.0954990578851869,0,0.35679568482584,0.365217713004147,0.367679568899442,0.370646991288227,0.105921613305648,0.118023849796731,0.181760154711929,0.116351310736704,0.116412911039023,0.152146130170518,0.196264793161358,0.145718644575732,0.121897856317499,0.342819960297215,0.340191879319092,0.350564049598819,0.361575304528406,0.14606116130336,0.218445793976303,0.25445653023782,0.107770057661461,0.309949537103488,0.340720078400821,0.357605406047344,0.112870086860282,0.0973424066163397,0.128530135781582,0.0973944246627281,0.116496161280382,0.12327829983946,0.2002111695665,0.130626888622058,0.244610484360502,0.183402103314732,0.343125307319663,0.339937079519549,0.303867525689806,0.386406031797596,0.204378783641451,0.213999393927175
"MERDSSG124",0.352372376796505,0.339393237841825,0.292336035453149,0.410237054404105,0.330312004163139,0.390610448476733,0.35679568482584,0,0.11830983627933,0.130873867041148,0.11864371170281,0.391241942142339,0.396405739925969,0.283356941866557,0.34603793487352,0.348056638667857,0.335618183735574,0.259879801920999,0.332066499302311,0.328721960989509,0.167222855958333,0.14664023525397,0.247772695427325,0.190667905201682,0.333622215627453,0.3121551742137,0.302276413619969,0.313792825992567,0.207135513774786,0.165455887715706,0.144741135479422,0.357426057399391,0.384683699434075,0.311313447594893,0.358799022973025,0.347423439339288,0.334861674232839,0.254908842444465,0.331601285869838,0.229424755556828,0.263364892062645,0.161060629148989,0.182673555800075,0.21922801830357,0.233860945976666,0.297473123471958,0.279446820494729
"MERDSSG127",0.356109984384827,0.349710105363666,0.296089951882794,0.428304967951416,0.334050876748567,0.407674519761472,0.365217713004147,0.11830983627933,0,0.100663815516264,0.154153204392324,0.405024366105766,0.40718983379203,0.280191604535134,0.346795581772118,0.352166864840698,0.340333600795881,0.248839010731633,0.337514218881381,0.328841399067686,0.179016309535419,0.126802709258049,0.271054891737975,0.217178045726349,0.331312901094949,0.304478857723909,0.293587831145387,0.313918654097493,0.230799324760802,0.1713255919005,0.14283428902605,0.369249878575211,0.395080896405357,0.328380250939195,0.366313929920846,0.358007378343686,0.339913628101525,0.250622160976432,0.332949263934698,0.216907113339436,0.265231023858451,0.209916740877544,0.168605075245437,0.225340817429765,0.20183392287986,0.296949163604595,0.277333460540829
"MERDSSG130",0.36443925007256,0.348336123698739,0.299594436382392,0.421711125952708,0.343823949763144,0.403595276774274,0.367679568899442,0.130873867041148,0.100663815516264,0,0.162055643905354,0.400520064991197,0.408139050240839,0.291301812095176,0.358057346999991,0.359687221018293,0.342087340595564,0.263432560431285,0.346023066540054,0.337067070966279,0.19819658239293,0.156178462147512,0.276048455402793,0.238726346375473,0.344486709772203,0.320765466710097,0.30813731302698,0.322884748824942,0.236504835554581,0.186174614284557,0.143022510365779,0.365733667123239,0.396010432240437,0.327069285297918,0.372919061435359,0.356817065027852,0.344324550414522,0.257972731110715,0.340891472430461,0.222210605350959,0.260596747321354,0.216016465747757,0.160389905692594,0.220337245673167,0.160136306954909,0.30708544209116,0.289040614545804
