"","Plant_Number","date","Rdate","exp_days","num_germinates","volunteer_dicot","num_removed","raw_label","soil_status","root_association","block","precip","life_stage","trt","pot_w_germ","soil_root","tot_num_germ_harvest","t0_germ","germinated","tot_num_germ"
"3",3,"7_09","7/9/2018",27,0,0,0,"3-LR1cD","L","R",1,"D","S","LR1cD",0,"L.R",0,17,1,1
"12",12,"7_09","7/9/2018",27,0,0,0,"12-LR4cD","L","R",4,"D","S","LR4cD",0,"L.R",0,4,1,1
"24",24,"7_09","7/9/2018",27,0,0,0,"24-LB3cD","L","B",3,"D","S","LB3cD",0,"L.B",0,9,1,1
"34",34,"7_09","7/9/2018",27,0,0,0,"34-SB2aD","S","B",2,"D","S","SB2aD",0,"S.B",0,12,1,1
"35",35,"7_09","7/9/2018",27,0,0,0,"35-SB2bD","S","B",2,"D","S","SB2bD",0,"S.B",0,16,1,1
"46",46,"7_09","7/9/2018",27,0,0,0,"46-LR1aA","L","R",1,"A","S","LR1aA",0,"L.R",0,16,1,1
"48",48,"7_09","7/9/2018",27,0,0,0,"48-LR1cA","L","R",1,"A","S","LR1cA",0,"L.R",0,5,1,1
"60",60,"7_09","7/9/2018",27,0,0,0,"60-LR5cA","L","R",5,"A","S","LR5cA",0,"L.R",0,7,1,1
"71",71,"7_09","7/9/2018",27,0,0,0,"71-LB4bA","L","B",4,"A","S","LB4bA",0,"L.B",0,7,1,1
"74",74,"7_09","7/9/2018",27,0,0,0,"74-LB5bA","L","B",5,"A","S","LB5bA",0,"L.B",0,5,1,1
"76",76,"7_09","7/9/2018",27,0,0,0,"76-SB1aA","S","B",1,"A","S","SB1aA",0,"S.B",0,8,1,1
"87",87,"7_09","7/9/2018",27,0,0,0,"87-SB4cA","S","B",4,"A","S","SB4cA",0,"S.B",0,11,1,1
"1",1,"7_09","7/9/2018",27,0,0,0,"1-LR1aD","L","R",1,"D","S","LR1aD",0,"L.R",0,NA,0,0
"5",5,"7_09","7/9/2018",27,0,0,0,"5-LR2bD","L","R",2,"D","S","LR2bD",0,"L.R",0,NA,0,0
"7",7,"7_09","7/9/2018",27,0,0,0,"7-LR3aD","L","R",3,"D","S","LR3aD",0,"L.R",0,NA,0,0
"8",8,"7_09","7/9/2018",27,0,0,0,"8-LR3bD","L","R",3,"D","S","LR3bD",0,"L.R",0,NA,0,0
"9",9,"7_09","7/9/2018",27,0,0,0,"9-LR3cD","L","R",3,"D","S","LR3cD",0,"L.R",0,NA,0,0
"13",13,"7_09","7/9/2018",27,0,0,0,"13-LR5aD","L","R",5,"D","S","LR5aD",0,"L.R",0,NA,0,0
"15",15,"7_09","7/9/2018",27,0,0,0,"15-LR5cD","L","R",5,"D","S","LR5cD",0,"L.R",0,NA,0,0
"16",16,"7_09","7/9/2018",27,0,0,0,"16-LB1aD","L","B",1,"D","S","LB1aD",0,"L.B",0,NA,0,0
"17",17,"7_09","7/9/2018",27,0,0,0,"17-LB1bD","L","B",1,"D","S","LB1bD",0,"L.B",0,NA,0,0
"19",19,"7_09","7/9/2018",27,0,0,0,"19-LB2aD","L","B",2,"D","S","LB2aD",0,"L.B",0,NA,0,0
"28",28,"7_09","7/9/2018",27,0,0,0,"28-LB5aD","L","B",5,"D","S","LB5aD",0,"L.B",0,NA,0,0
"29",29,"7_09","7/9/2018",27,0,0,0,"29-LB5bD","L","B",5,"D","S","LB5bD",0,"L.B",0,NA,0,0
"31",31,"7_09","7/9/2018",27,0,0,0,"31-SB1aD","S","B",1,"D","S","SB1aD",0,"S.B",0,NA,0,0
"32",32,"7_09","7/9/2018",27,0,0,0,"32-SB1bD","S","B",1,"D","S","SB1bD",0,"S.B",0,NA,0,0
"33",33,"7_09","7/9/2018",27,0,0,0,"33-SB1cD","S","B",1,"D","S","SB1cD",0,"S.B",0,NA,0,0
"36",36,"7_09","7/9/2018",27,0,0,0,"36-SB2cD","S","B",2,"D","S","SB2cD",0,"S.B",0,NA,0,0
"38",38,"7_09","7/9/2018",27,0,0,0,"38-SB3bD","S","B",3,"D","S","SB3bD",0,"S.B",0,NA,0,0
"40",40,"7_09","7/9/2018",27,0,0,0,"40-SB4aD","S","B",4,"D","S","SB4aD",0,"S.B",0,NA,0,0
"41",41,"7_09","7/9/2018",27,0,0,0,"41-SB4bD","S","B",4,"D","S","SB4bD",0,"S.B",0,NA,0,0
"43",43,"7_09","7/9/2018",27,0,0,0,"43-SB5aD","S","B",5,"D","S","SB5aD",0,"S.B",0,NA,0,0
"45",45,"7_09","7/9/2018",27,0,0,0,"45-SB5cD","S","B",5,"D","S","SB5cD",0,"S.B",0,NA,0,0
"61",61,"7_09","7/9/2018",27,0,0,0,"61-LB1aA","L","B",1,"A","S","LB1aA",0,"L.B",0,NA,0,0
"63",63,"7_09","7/9/2018",27,0,0,0,"63-LB1cA","L","B",1,"A","S","LB1cA",0,"L.B",0,NA,0,0
"70",70,"7_09","7/9/2018",27,0,0,0,"70-LB4aA","L","B",4,"A","S","LB4aA",0,"L.B",0,NA,0,0
"78",78,"7_09","7/9/2018",27,0,0,0,"78-SB1cA","S","B",1,"A","S","SB1cA",0,"S.B",0,NA,0,0
"80",80,"7_09","7/9/2018",27,0,0,0,"80-SB2bA","S","B",2,"A","S","SB2bA",0,"S.B",0,NA,0,0
"81",81,"7_09","7/9/2018",27,0,0,0,"81-SB2cA","S","B",2,"A","S","SB2cA",0,"S.B",0,NA,0,0
