"","precip","block","soil_root","root_association","soil_status"
"MERDSSG10","D",4,"L.R","R","L"
"MERDSSG14","D",5,"L.R","R","L"
"MERDSSG20","D",2,"L.B","B","L"
"MERDSSG23","D",3,"L.B","B","L"
"MERDSSG25","D",4,"L.B","B","L"
"MERDSSG30","D",5,"L.B","B","L"
"MERDSSG37","D",3,"S.B","B","S"
"MERDSSG39","D",3,"S.B","B","S"
"MERDSSG44","D",5,"S.B","B","S"
"MERDSSG49","A",2,"L.R","R","L"
"MERDSSG4","D",2,"L.R","R","L"
"MERDSSG52","A",3,"L.R","R","L"
"MERDSSG55","A",4,"L.R","R","L"
"MERDSSG58","A",5,"L.R","R","L"
"MERDSSG64","A",2,"L.B","B","L"
"MERDSSG67","A",3,"L.B","B","L"
"MERDSSG6","D",2,"L.R","R","L"
"MERDSSG72","A",4,"L.B","B","L"
"MERDSSG73","A",5,"L.B","B","L"
"MERDSSG79","A",2,"S.B","B","S"
"MERDSSG84","A",3,"S.B","B","S"
"MERDSSG85","A",4,"S.B","B","S"
"MERDSSG89","A",5,"S.B","B","S"
