"","MERDSSG10","MERDSSG14","MERDSSG20","MERDSSG23","MERDSSG25","MERDSSG30","MERDSSG37","MERDSSG39","MERDSSG44","MERDSSG49","MERDSSG4","MERDSSG52","MERDSSG55","MERDSSG58","MERDSSG64","MERDSSG67","MERDSSG6","MERDSSG72","MERDSSG73","MERDSSG79","MERDSSG84","MERDSSG85","MERDSSG89"
"MERDSSG10",0,0.159505715460517,0.195742615698562,0.277359254492036,0.325782806384788,0.175696331185088,0.348028886175428,0.392390356201029,0.407259401279256,0.147130332432337,0.0886729296366278,0.172463300463058,0.144357000933818,0.17406050234139,0.169937669542485,0.269071588327281,0.181403926549095,0.314382118274858,0.242507598335527,0.385677958073122,0.390274954004055,0.352398773810221,0.443492288358188
"MERDSSG14",0.159505715460517,0,0.132381213832066,0.202494648060036,0.228192561474849,0.0964348174900194,0.296834401018328,0.332084094574558,0.350975754164128,0.134891846045256,0.119840458890402,0.153683536724514,0.130911339951797,0.139906866358144,0.148691360027557,0.201928952884641,0.111783156317583,0.235176621349022,0.178594627131281,0.342223623449924,0.333545429980214,0.290809703476016,0.383910875673968
"MERDSSG20",0.195742615698562,0.132381213832066,0,0.132052625990884,0.176309888328795,0.112308244459508,0.295256023264176,0.30830689185572,0.324004044662711,0.164641125198101,0.155626521597861,0.168567356573992,0.145138440910016,0.166566215138777,0.136738198143922,0.174316789356686,0.11298665336738,0.212861810429823,0.168138006976775,0.325896629725719,0.31227669391819,0.284234135458226,0.354608300193447
"MERDSSG23",0.277359254492036,0.202494648060036,0.132052625990884,0,0.111848512742742,0.172265811526097,0.334998890798016,0.310634218211582,0.315195894891057,0.222360014571376,0.239099259477322,0.225922162394578,0.21561917156646,0.221849501523331,0.201463513719415,0.162640957455299,0.16970374458872,0.177592539282078,0.182126648163574,0.332410728638049,0.303229350328552,0.30902238694462,0.321681539393808
"MERDSSG25",0.325782806384788,0.228192561474849,0.176309888328795,0.111848512742742,0,0.201474998078707,0.339471138195503,0.312044322929282,0.305409275767888,0.262200319862049,0.284413120949742,0.252953411442585,0.247055205897054,0.254992037279991,0.237574183325149,0.180204682209482,0.208336548308525,0.158322795695839,0.201199772048609,0.33595491046644,0.304146531427045,0.311502938263736,0.311770854366327
"MERDSSG30",0.175696331185088,0.0964348174900194,0.112308244459508,0.172265811526097,0.201474998078707,0,0.273265984840918,0.30283738694888,0.320990705772559,0.121157112317123,0.139925020048031,0.130599946143602,0.120337041405969,0.133417182653336,0.125145770962817,0.161770540550767,0.111188553973191,0.199590180488336,0.148868271132463,0.312540938417718,0.301848337456203,0.259935530834917,0.346929422383922
"MERDSSG37",0.348028886175428,0.296834401018328,0.295256023264176,0.334998890798016,0.339471138195503,0.273265984840918,0,0.149615076962612,0.164672548615665,0.316187424485086,0.319930208135948,0.282015315001721,0.313338522545777,0.313629583691563,0.295207724841245,0.295167253043193,0.288906006012871,0.299024812007315,0.282200676198911,0.202701194810638,0.219404495963868,0.204954543598769,0.301475215069211
"MERDSSG39",0.392390356201029,0.332084094574558,0.30830689185572,0.310634218211582,0.312044322929282,0.30283738694888,0.149615076962612,0,0.117734727786413,0.351787368109422,0.359608211060914,0.315834618466787,0.344142464966137,0.342051389473165,0.319467950923482,0.284125849817613,0.312039063857443,0.261851917536632,0.284156972603066,0.182220513433459,0.189759323105934,0.215538296331745,0.253555040020373
"MERDSSG44",0.407259401279256,0.350975754164128,0.324004044662711,0.315195894891057,0.305409275767888,0.320990705772559,0.164672548615665,0.117734727786413,0,0.362418517266744,0.378822894772334,0.323706144640847,0.361880459684087,0.353655232619295,0.339049743810101,0.28517401771465,0.329953477223345,0.257015537835797,0.287620086308468,0.174199777791206,0.178172837670715,0.228935115178073,0.213044498094281
"MERDSSG49",0.147130332432337,0.134891846045256,0.164641125198101,0.222360014571376,0.262200319862049,0.121157112317123,0.316187424485086,0.351787368109422,0.362418517266744,0,0.127620988455548,0.122138990471986,0.11968673626527,0.11722019235646,0.127632129731625,0.197308374760834,0.136552366031656,0.241328976362648,0.167420595363869,0.340777400428585,0.337887006481192,0.291811836106636,0.39195133182834
"MERDSSG4",0.0886729296366278,0.119840458890402,0.155626521597861,0.239099259477322,0.284413120949742,0.139925020048031,0.319930208135948,0.359608211060914,0.378822894772334,0.127620988455548,0,0.15377976933132,0.125172622572377,0.142968996586649,0.142717479423632,0.231443621867291,0.148945421946851,0.275851293866896,0.207052183306891,0.367820870467401,0.362343324239319,0.328581463222597,0.412878087917173
"MERDSSG52",0.172463300463058,0.153683536724514,0.168567356573992,0.225922162394578,0.252953411442585,0.130599946143602,0.282015315001721,0.315834618466787,0.323706144640847,0.122138990471986,0.15377976933132,0,0.132926935842369,0.124878232951935,0.102149000602661,0.193410259407994,0.149365553211497,0.241143985731194,0.172035328027386,0.301116311847991,0.290312011526818,0.267225933442959,0.379438243380379
"MERDSSG55",0.144357000933818,0.130911339951797,0.145138440910016,0.21561917156646,0.247055205897054,0.120337041405969,0.313338522545777,0.344142464966137,0.361880459684087,0.11968673626527,0.125172622572377,0.132926935842369,0,0.133985367335712,0.111564893716963,0.195172255463392,0.128913030075776,0.240772223626891,0.181069896564357,0.344322855856315,0.346450556150524,0.303361471990065,0.391892059284841
"MERDSSG58",0.17406050234139,0.139906866358144,0.166566215138777,0.221849501523331,0.254992037279991,0.133417182653336,0.313629583691563,0.342051389473165,0.353655232619295,0.11722019235646,0.142968996586649,0.124878232951935,0.133985367335712,0,0.120377999598165,0.191870185697658,0.138609617473224,0.238058221013999,0.159487053221583,0.335607915883269,0.325616217212229,0.296881910491292,0.381412706732754
"MERDSSG64",0.169937669542485,0.148691360027557,0.136738198143922,0.201463513719415,0.237574183325149,0.125145770962817,0.295207724841245,0.319467950923482,0.339049743810101,0.127632129731625,0.142717479423632,0.102149000602661,0.111564893716963,0.120377999598165,0,0.175099317857675,0.135017857670376,0.220442987130785,0.155678743302495,0.317913038692947,0.302306090594673,0.276013589900394,0.362693992472389
"MERDSSG67",0.269071588327281,0.201928952884641,0.174316789356686,0.162640957455299,0.180204682209482,0.161770540550767,0.295167253043193,0.284125849817613,0.28517401771465,0.197308374760834,0.231443621867291,0.193410259407994,0.195172255463392,0.191870185697658,0.175099317857675,0,0.178116176803104,0.108396601105172,0.0858263853375511,0.276401237861765,0.241567392804337,0.241860532070017,0.27761149131388
"MERDSSG6",0.181403926549095,0.111783156317583,0.11298665336738,0.16970374458872,0.208336548308525,0.111188553973191,0.288906006012871,0.312039063857443,0.329953477223345,0.136552366031656,0.148945421946851,0.149365553211497,0.128913030075776,0.138609617473224,0.135017857670376,0.178116176803104,0,0.22111322218682,0.166988968335668,0.319397181385386,0.316992951241133,0.278272417139338,0.370400582573484
"MERDSSG72",0.314382118274858,0.235176621349022,0.212861810429823,0.177592539282078,0.158322795695839,0.199590180488336,0.299024812007315,0.261851917536632,0.257015537835797,0.241328976362648,0.275851293866896,0.241143985731194,0.240772223626891,0.238058221013999,0.220442987130785,0.108396601105172,0.22111322218682,0,0.12182384421953,0.270295718090582,0.216246750039597,0.2543323807825,0.23464550103952
"MERDSSG73",0.242507598335527,0.178594627131281,0.168138006976775,0.182126648163574,0.201199772048609,0.148868271132463,0.282200676198911,0.284156972603066,0.287620086308468,0.167420595363869,0.207052183306891,0.172035328027386,0.181069896564357,0.159487053221583,0.155678743302495,0.0858263853375511,0.166988968335668,0.12182384421953,0,0.269447789479272,0.243921259669273,0.237263445108943,0.279081055564307
"MERDSSG79",0.385677958073122,0.342223623449924,0.325896629725719,0.332410728638049,0.33595491046644,0.312540938417718,0.202701194810638,0.182220513433459,0.174199777791206,0.340777400428585,0.367820870467401,0.301116311847991,0.344322855856315,0.335607915883269,0.317913038692947,0.276401237861765,0.319397181385386,0.270295718090582,0.269447789479272,0,0.191820735798449,0.189689388899732,0.277413578441005
"MERDSSG84",0.390274954004055,0.333545429980214,0.31227669391819,0.303229350328552,0.304146531427045,0.301848337456203,0.219404495963868,0.189759323105934,0.178172837670715,0.337887006481192,0.362343324239319,0.290312011526818,0.346450556150524,0.325616217212229,0.302306090594673,0.241567392804337,0.316992951241133,0.216246750039597,0.243921259669273,0.191820735798449,0,0.192436222866691,0.181652689864306
"MERDSSG85",0.352398773810221,0.290809703476016,0.284234135458226,0.30902238694462,0.311502938263736,0.259935530834917,0.204954543598769,0.215538296331745,0.228935115178073,0.291811836106636,0.328581463222597,0.267225933442959,0.303361471990065,0.296881910491292,0.276013589900394,0.241860532070017,0.278272417139338,0.2543323807825,0.237263445108943,0.189689388899732,0.192436222866691,0,0.267427206051276
"MERDSSG89",0.443492288358188,0.383910875673968,0.354608300193447,0.321681539393808,0.311770854366327,0.346929422383922,0.301475215069211,0.253555040020373,0.213044498094281,0.39195133182834,0.412878087917173,0.379438243380379,0.391892059284841,0.381412706732754,0.362693992472389,0.27761149131388,0.370400582573484,0.23464550103952,0.279081055564307,0.277413578441005,0.181652689864306,0.267427206051276,0
