"Domain"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"OTU18"	"d:Bacteria"	"p:Acidobacteria"	"c:Acidobacteria_Gp1"	"g:Gp1"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU2402"	"d:Bacteria"	"p:Acidobacteria"	"c:Acidobacteria_Gp2"	"g:Gp2"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU3300"	"d:Bacteria"	"p:Gemmatimonadetes"	"c:Gemmatimonadetes"	"o:Gemmatimonadales"	"f:Gemmatimonadaceae"	"g:Gemmatimonas"	"UNKNOWN"
"OTU190"	"d:Bacteria"	"p:Nitrospirae"	"c:Nitrospira"	"o:Nitrospirales"	"f:Nitrospiraceae"	"g:Nitrospira"	"UNKNOWN"
"OTU13755"	"d:Bacteria"	"p:Acidobacteria"	"c:Acidobacteria_Gp1"	"g:Gp1"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU13"	"d:Bacteria"	"p:Acidobacteria"	"c:Acidobacteria_Gp1"	"g:Gp1"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU608"	"d:Bacteria"	"p:Acidobacteria"	"c:Acidobacteria_Gp16"	"g:Gp16"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU123"	"d:Bacteria"	"p:Proteobacteria"	"c:Gammaproteobacteria"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU2952"	"d:Bacteria"	"p:Chloroflexi"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU1"	"d:Bacteria"	"p:Proteobacteria"	"c:Alphaproteobacteria"	"o:Rhizobiales"	"f:Bradyrhizobiaceae"	"g:Bradyrhizobium"	"UNKNOWN"
"OTU20889"	"d:Bacteria"	"p:Actinobacteria"	"c:Actinobacteria"	"o:Gaiellales"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU73"	"d:Bacteria"	"p:Proteobacteria"	"c:Gammaproteobacteria"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU15"	"d:Bacteria"	"p:Verrucomicrobia"	"c:Spartobacteria"	"g:Spartobacteria_genera_incertae_sedis"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU170"	"d:Bacteria"	"p:Acidobacteria"	"c:Acidobacteria_Gp3"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU9"	"d:Bacteria"	"p:Verrucomicrobia"	"c:Spartobacteria"	"g:Spartobacteria_genera_incertae_sedis"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU883"	"d:Bacteria"	"p:Proteobacteria"	"c:Betaproteobacteria"	"o:Burkholderiales"	"f:Oxalobacteraceae"	"g:Massilia"	"UNKNOWN"
"OTU9598"	"d:Bacteria"	"p:Proteobacteria"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
