"Domain"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"OTU18"	"k:Bacteria"	"p:Acidobacteria"	"c:Acidobacteria"	"o:Acidobacteriales"	"f:Acidobacteriaceae_[Subgroup_1]"	"UNKNOWN"	"UNKNOWN"
"OTU2402"	"k:Bacteria"	"p:Acidobacteria"	"c:Acidobacteria"	"o:Subgroup_2"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU3300"	"k:Bacteria"	"p:Gemmatimonadetes"	"c:Gemmatimonadetes"	"o:Gemmatimonadales"	"f:Gemmatimonadaceae"	"g:Gemmatimonas"	"UNKNOWN"
"OTU190"	"k:Bacteria"	"p:Nitrospirae"	"c:Nitrospira"	"o:Nitrospirales"	"f:Nitrospiraceae"	"g:Nitrospira"	"UNKNOWN"
"OTU13755"	"k:Bacteria"	"p:Acidobacteria"	"c:Acidobacteria"	"o:Acidobacteriales"	"f:Acidobacteriaceae_[Subgroup_1]"	"UNKNOWN"	"UNKNOWN"
"OTU13"	"k:Bacteria"	"p:Acidobacteria"	"c:Acidobacteria"	"o:Acidobacteriales"	"f:Acidobacteriaceae_[Subgroup_1]"	"UNKNOWN"	"UNKNOWN"
"OTU608"	"k:Bacteria"	"p:Chloroflexi"	"c:KD4-96"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU123"	"k:Bacteria"	"p:Proteobacteria"	"c:Gammaproteobacteria"	"o:Xanthomonadales"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU2952"	"k:Bacteria"	"p:Chloroflexi"	"c:Ktedonobacteria"	"o:Ktedonobacterales"	"f:Thermosporotrichaceae"	"g:Thermosporothrix"	"UNKNOWN"
"OTU1"	"k:Bacteria"	"p:Proteobacteria"	"c:Alphaproteobacteria"	"o:Rhizobiales"	"f:Bradyrhizobiaceae"	"g:Bradyrhizobium"	"UNKNOWN"
"OTU20889"	"k:Bacteria"	"p:Actinobacteria"	"c:Thermoleophilia"	"o:Gaiellales"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
