"","MERDSSG100","MERDSSG103","MERDSSG109","MERDSSG112","MERDSSG115","MERDSSG118","MERDSSG124","MERDSSG127","MERDSSG130","MERDSSG133","MERDSSG139","MERDSSG142","MERDSSG145","MERDSSG148","MERDSSG154","MERDSSG157","MERDSSG160","MERDSSG163","MERDSSG169","MERDSSG172","MERDSSG175","MERDSSG178","MERDSSG94","MERDSSG97"
"MERDSSG100",0,0.133700317272958,0.123795531525961,0.130898335350655,0.158546484321175,0.137565025826332,0.352372376796505,0.356109984384827,0.36443925007256,0.355659323320776,0.182630173983382,0.187570338657225,0.177302258503251,0.172122889495542,0.17333600647039,0.197833791338569,0.182430163224728,0.176478483644577,0.319854102018779,0.323333415445918,0.331905406286894,0.370064308345379,0.190767047931319,0.185603628655153
"MERDSSG103",0.133700317272958,0,0.118406913009194,0.12699237146348,0.147728330497158,0.117079117946419,0.339393237841825,0.349710105363666,0.348336123698739,0.347085205455588,0.16682257722558,0.180659306472242,0.169452720668407,0.118713492682832,0.169313229008657,0.187682739373609,0.149284937165096,0.135331664630605,0.32823214513533,0.323307716541084,0.340382894495752,0.354314845880856,0.17984957296471,0.18468032630746
"MERDSSG109",0.123795531525961,0.118406913009194,0,0.11420329298181,0.168260558739717,0.1337634013414,0.292336035453149,0.296089951882794,0.299594436382392,0.297071186199557,0.176181680727059,0.174872081375212,0.124629428642829,0.136894518999171,0.146340134171418,0.137515263639222,0.144036175589413,0.141290748255478,0.275158688839997,0.267759386281423,0.295834942633303,0.308776581175584,0.159508798830156,0.142054992239432
"MERDSSG112",0.130898335350655,0.12699237146348,0.11420329298181,0,0.186891998184341,0.14408572092176,0.330312004163139,0.334050876748567,0.343823949763144,0.350137632286501,0.182136838412256,0.182960580739537,0.135789117741583,0.135376710312241,0.165813174299611,0.152991887023171,0.143801126286047,0.146261575707463,0.323232985396164,0.320218993059312,0.353449416254058,0.345897033817334,0.119161042774775,0.128469628554134
"MERDSSG115",0.158546484321175,0.147728330497158,0.168260558739717,0.186891998184341,0,0.0954990578851869,0.390610448476733,0.407674519761472,0.403595276774274,0.40197183399647,0.109395252767349,0.117144452452424,0.2354004570944,0.162235637639353,0.183118966779618,0.246774423833741,0.189355297117514,0.163991997150802,0.367063072617304,0.370802993849943,0.37198304537789,0.390461643222009,0.254969775773963,0.256478381561173
"MERDSSG118",0.137565025826332,0.117079117946419,0.1337634013414,0.14408572092176,0.0954990578851869,0,0.35679568482584,0.365217713004147,0.367679568899442,0.370646991288227,0.105921613305648,0.118023849796731,0.181760154711929,0.116351310736704,0.152146130170518,0.196264793161358,0.145718644575732,0.121897856317499,0.342819960297215,0.340191879319092,0.350564049598819,0.361575304528406,0.204378783641451,0.213999393927175
"MERDSSG124",0.352372376796505,0.339393237841825,0.292336035453149,0.330312004163139,0.390610448476733,0.35679568482584,0,0.11830983627933,0.130873867041148,0.11864371170281,0.391241942142339,0.396405739925969,0.283356941866557,0.34603793487352,0.335618183735574,0.259879801920999,0.332066499302311,0.328721960989509,0.167222855958333,0.14664023525397,0.247772695427325,0.190667905201682,0.297473123471958,0.279446820494729
"MERDSSG127",0.356109984384827,0.349710105363666,0.296089951882794,0.334050876748567,0.407674519761472,0.365217713004147,0.11830983627933,0,0.100663815516264,0.154153204392324,0.405024366105766,0.40718983379203,0.280191604535134,0.346795581772118,0.340333600795881,0.248839010731633,0.337514218881381,0.328841399067686,0.179016309535419,0.126802709258049,0.271054891737975,0.217178045726349,0.296949163604595,0.277333460540829
"MERDSSG130",0.36443925007256,0.348336123698739,0.299594436382392,0.343823949763144,0.403595276774274,0.367679568899442,0.130873867041148,0.100663815516264,0,0.162055643905354,0.400520064991197,0.408139050240839,0.291301812095176,0.358057346999991,0.342087340595564,0.263432560431285,0.346023066540054,0.337067070966279,0.19819658239293,0.156178462147512,0.276048455402793,0.238726346375473,0.30708544209116,0.289040614545804
"MERDSSG133",0.355659323320776,0.347085205455588,0.297071186199557,0.350137632286501,0.40197183399647,0.370646991288227,0.11864371170281,0.154153204392324,0.162055643905354,0,0.399770123929574,0.40867102017984,0.298717542980511,0.362045131746941,0.348112994670638,0.277096977650945,0.350886217929087,0.341329847193999,0.191236971058694,0.149076900459928,0.243342018265067,0.169772598032827,0.321666084305909,0.299237295731142
